[2024-02-29 13:45:19.619] 
[2024-02-29 13:45:19.619] -2.09
[2024-02-29 13:45:19.619] 9.56
[2024-02-29 13:45:19.649] 8.31
[2024-02-29 13:45:19.649] -4.66
[2024-02-29 13:45:19.649] -12.28
[2024-02-29 13:45:19.649] -4.72
[2024-02-29 13:45:19.649] 7.09
[2024-02-29 13:45:19.649] 7.28
[2024-02-29 13:45:19.649] -4.91
[2024-02-29 13:45:19.649] -13.25
[2024-02-29 13:45:19.649] -6.53
[2024-02-29 13:45:19.649] 5.50
[2024-02-29 13:45:19.649] 6.94
[2024-02-29 13:45:19.649] -3.88
[2024-02-29 13:45:19.649] -11.19
[2024-02-29 13:45:19.649] -4.53
[2024-02-29 13:45:19.649] 6.50
[2024-02-29 13:45:19.649] 6.34
[2024-02-29 13:45:19.649] -6.25
[2024-02-29 13:45:19.649] -15.16
[2024-02-29 13:45:19.649] -8.75
[2024-02-29 13:45:19.649] 3.97
[2024-02-29 13:45:19.649] 6.63
[2024-02-29 13:45:19.649] -4.09
[2024-02-29 13:45:19.649] -13.13
[2024-02-29 13:45:19.649] -8.13
[2024-02-29 13:45:19.649] 3.41
[2024-02-29 13:45:19.649] 5.72
[2024-02-29 13:45:19.649] -4.91
[2024-02-29 13:45:19.649] -14.47
[2024-02-29 13:45:19.649] -9.91
[2024-02-29 13:45:19.649] 2.22
[2024-02-29 13:45:19.649] 6.16
[2024-02-29 13:45:19.649] -3.31
[2024-02-29 13:45:19.649] -12.78
[2024-02-29 13:45:19.649] -9.09
[2024-02-29 13:45:19.649] 2.38
[2024-02-29 13:45:19.649] 6.22
[2024-02-29 13:45:19.649] -3.00
[2024-02-29 13:45:19.649] -12.78
[2024-02-29 13:45:19.649] -9.56
[2024-02-29 13:45:19.649] 2.09
[2024-02-29 13:45:19.649] 6.75
[2024-02-29 13:45:19.649] -2.03
[2024-02-29 13:45:19.649] -12.44
[2024-02-29 13:45:19.649] -10.13
[2024-02-29 13:45:19.649] 1.47
[2024-02-29 13:45:19.649] 7.13
[2024-02-29 13:45:19.649] -1.00
[2024-02-29 13:45:19.650] -12.13
[2024-02-29 13:45:19.650] -11.09
[2024-02-29 13:45:19.650] 0.47
[2024-02-29 13:45:19.650] 7.28
[2024-02-29 13:45:19.650] -0.22
[2024-02-29 13:45:19.650] -12.47
[2024-02-29 13:45:19.650] -12.91
[2024-02-29 13:45:19.650] -1.25
[2024-02-29 13:45:19.650] 7.84
[2024-02-29 13:45:19.650] 3.19
[2024-02-29 13:45:19.650] -7.53
[2024-02-29 13:45:19.650] -8.53
[2024-02-29 13:45:19.650] 1.22
