[2024-02-29 16:05:08.531] 
[2024-02-29 16:05:08.563] 9.19
[2024-02-29 16:05:08.563] 8.75
[2024-02-29 16:05:08.563] 6.94
[2024-02-29 16:05:08.563] 4.13
[2024-02-29 16:05:08.563] 0.50
[2024-02-29 16:05:08.563] -1.66
[2024-02-29 16:05:08.563] 0.03
[2024-02-29 16:05:08.563] 5.44
[2024-02-29 16:05:08.563] 9.97
[2024-02-29 16:05:08.563] 9.28
[2024-02-29 16:05:08.563] 3.78
[2024-02-29 16:05:08.563] -1.69
[2024-02-29 16:05:08.563] -3.72
[2024-02-29 16:05:08.563] -2.56
[2024-02-29 16:05:08.563] -0.75
[2024-02-29 16:05:08.563] -0.56
[2024-02-29 16:05:08.563] -2.41
[2024-02-29 16:05:08.563] -4.09
[2024-02-29 16:05:08.563] -3.81
[2024-02-29 16:05:08.563] -1.84
[2024-02-29 16:05:08.563] -0.97
[2024-02-29 16:05:08.563] -3.50
[2024-02-29 16:05:08.563] -8.53
[2024-02-29 16:05:08.563] -12.28
[2024-02-29 16:05:08.563] -10.88
[2024-02-29 16:05:08.563] -3.47
[2024-02-29 16:05:08.563] 5.97
[2024-02-29 16:05:08.563] 11.47
[2024-02-29 16:05:08.563] 9.19
[2024-02-29 16:05:08.563] 0.47
[2024-02-29 16:05:08.563] -9.81
[2024-02-29 16:05:08.563] -16.87
[2024-02-29 16:05:08.563] -18.87
[2024-02-29 16:05:08.563] -17.47
[2024-02-29 16:05:08.563] -15.31
[2024-02-29 16:05:08.563] -13.34
[2024-02-29 16:05:08.563] -11.16
[2024-02-29 16:05:08.563] -7.91
[2024-02-29 16:05:08.563] -3.91
[2024-02-29 16:05:08.563] 0.41
[2024-02-29 16:05:08.563] 4.59
[2024-02-29 16:05:08.563] 8.00
[2024-02-29 16:05:08.563] 9.78
[2024-02-29 16:05:08.563] 10.56
[2024-02-29 16:05:08.563] 11.88
[2024-02-29 16:05:08.563] 14.31
[2024-02-29 16:05:08.563] 17.19
[2024-02-29 16:05:08.563] 18.59
[2024-02-29 16:05:08.563] 17.31
[2024-02-29 16:05:08.563] 12.91
[2024-02-29 16:05:08.563] 5.88
[2024-02-29 16:05:08.563] -2.38
[2024-02-29 16:05:08.563] -8.72
[2024-02-29 16:05:08.563] -9.81
[2024-02-29 16:05:08.563] -5.50
[2024-02-29 16:05:08.563] 1.81
[2024-02-29 16:05:08.563] 7.91
[2024-02-29 16:05:08.563] 7.28
[2024-02-29 16:05:08.563] -3.31
[2024-02-29 16:05:08.563] -20.34
[2024-02-29 16:05:08.563] -34.75
[2024-02-29 16:05:08.563] -36.81
[2024-02-29 16:05:08.563] -21.81
[2024-02-29 16:05:08.563] 4.03
[2024-02-29 16:05:08.563] 26.72
[2024-02-29 16:05:08.563] 34.47
[2024-02-29 16:05:08.563] 26.41
[2024-02-29 16:05:08.563] 11.78
[2024-02-29 16:05:08.563] 1.66
[2024-02-29 16:05:08.563] 1.47
[2024-02-29 16:05:08.563] 7.72
[2024-02-29 16:05:08.563] 13.19
[2024-02-29 16:05:08.563] 13.06
[2024-02-29 16:05:08.563] 8.34
[2024-02-29 16:05:08.563] 3.25
[2024-02-29 16:05:08.563] 1.41
[2024-02-29 16:05:08.563] 2.75
[2024-02-29 16:05:08.563] 4.16
[2024-02-29 16:05:08.563] 2.81
[2024-02-29 16:05:08.563] -1.16
[2024-02-29 16:05:08.563] -5.47
[2024-02-29 16:05:08.563] -8.59
[2024-02-29 16:05:08.563] -9.88
[2024-02-29 16:05:08.563] -9.41
[2024-02-29 16:05:08.563] -7.81
[2024-02-29 16:05:08.563] -4.66
[2024-02-29 16:05:08.563] 0.59
[2024-02-29 16:05:08.563] 6.69
[2024-02-29 16:05:08.563] 12.09
[2024-02-29 16:05:08.563] 15.06
[2024-02-29 16:05:08.563] 15.53
[2024-02-29 16:05:08.563] 14.13
[2024-02-29 16:05:08.563] 11.16
[2024-02-29 16:05:08.563] 6.44
[2024-02-29 16:05:08.563] 0.47
[2024-02-29 16:05:08.563] -4.84
[2024-02-29 16:05:08.563] -6.78
[2024-02-29 16:05:08.563] -2.63
[2024-02-29 16:05:08.563] 6.09
[2024-02-29 16:05:08.563] 13.25
[2024-02-29 16:05:08.563] 12.72
[2024-02-29 16:05:08.563] 3.97
[2024-02-29 16:05:08.563] -7.78
[2024-02-29 16:05:08.563] -17.47
[2024-02-29 16:05:08.563] -23.25
[2024-02-29 16:05:08.563] -26.19
[2024-02-29 16:05:08.563] -26.84
[2024-02-29 16:05:08.563] -25.12
[2024-02-29 16:05:08.563] -22.09
[2024-02-29 16:05:08.563] -20.25
[2024-02-29 16:05:08.563] -20.50
[2024-02-29 16:05:08.563] -20.47
[2024-02-29 16:05:08.563] -17.16
[2024-02-29 16:05:08.563] -10.69
[2024-02-29 16:05:08.563] -3.16
