[2024-02-27 13:43:54.222] 
[2024-02-27 13:43:54.222] -0.16
[2024-02-27 13:43:54.222] 0.41
[2024-02-27 13:43:54.222] 1.37
[2024-02-27 13:43:54.250] 2.00
[2024-02-27 13:43:54.250] 2.13
[2024-02-27 13:43:54.250] 2.19
[2024-02-27 13:43:54.250] 2.53
[2024-02-27 13:43:54.250] 2.75
[2024-02-27 13:43:54.250] 2.59
[2024-02-27 13:43:54.250] 1.56
[2024-02-27 13:43:54.250] -0.12
[2024-02-27 13:43:54.250] -1.94
[2024-02-27 13:43:54.250] -3.19
[2024-02-27 13:43:54.250] -3.28
[2024-02-27 13:43:54.250] -2.44
[2024-02-27 13:43:54.250] -1.59
[2024-02-27 13:43:54.250] -1.31
[2024-02-27 13:43:54.250] -1.59
[2024-02-27 13:43:54.250] -1.53
[2024-02-27 13:43:54.250] -1.03
[2024-02-27 13:43:54.250] -0.19
[2024-02-27 13:43:54.250] 0.41
[2024-02-27 13:43:54.250] 0.69
[2024-02-27 13:43:54.250] 0.78
[2024-02-27 13:43:54.250] 1.12
[2024-02-27 13:43:54.250] 1.59
[2024-02-27 13:43:54.250] 1.84
[2024-02-27 13:43:54.250] 1.47
[2024-02-27 13:43:54.250] 1.12
[2024-02-27 13:43:54.250] 1.53
[2024-02-27 13:43:54.250] 2.84
[2024-02-27 13:43:54.250] 3.66
[2024-02-27 13:43:54.250] 3.09
[2024-02-27 13:43:54.250] 1.69
[2024-02-27 13:43:54.250] 0.47
[2024-02-27 13:43:54.250] 0.06
[2024-02-27 13:43:54.250] -0.09
[2024-02-27 13:43:54.250] -0.22
[2024-02-27 13:43:54.250] 0.12
[2024-02-27 13:43:54.250] 1.34
[2024-02-27 13:43:54.250] 2.88
[2024-02-27 13:43:54.250] 3.41
[2024-02-27 13:43:54.250] 2.06
[2024-02-27 13:43:54.250] -0.53
[2024-02-27 13:43:54.250] -2.69
[2024-02-27 13:43:54.250] -2.66
[2024-02-27 13:43:54.250] -0.12
[2024-02-27 13:43:54.250] 3.31
[2024-02-27 13:43:54.250] 5.75
[2024-02-27 13:43:54.250] 6.09
[2024-02-27 13:43:54.250] 4.78
[2024-02-27 13:43:54.250] 1.94
[2024-02-27 13:43:54.250] -1.47
[2024-02-27 13:43:54.250] -3.38
[2024-02-27 13:43:54.250] -2.38
[2024-02-27 13:43:54.250] 0.63
[2024-02-27 13:43:54.250] 3.28
[2024-02-27 13:43:54.250] 3.66
[2024-02-27 13:43:54.250] 2.13
[2024-02-27 13:43:54.250] 0.94
[2024-02-27 13:43:54.250] 1.63
[2024-02-27 13:43:54.250] 4.16
[2024-02-27 13:43:54.250] 7.31
[2024-02-27 13:43:54.250] 8.91
[2024-02-27 13:43:54.250] 7.88
[2024-02-27 13:43:54.250] 5.38
[2024-02-27 13:43:54.250] 3.25
[2024-02-27 13:43:54.250] 2.63
[2024-02-27 13:43:54.250] 3.22
[2024-02-27 13:43:54.250] 3.94
[2024-02-27 13:43:54.250] 4.28
[2024-02-27 13:43:54.250] 3.56
[2024-02-27 13:43:54.250] 2.13
[2024-02-27 13:43:54.250] 0.50
[2024-02-27 13:43:54.250] -0.75
[2024-02-27 13:43:54.250] -0.78
[2024-02-27 13:43:54.250] 0.53
[2024-02-27 13:43:54.250] 2.66
[2024-02-27 13:43:54.250] 4.75
[2024-02-27 13:43:54.250] 5.13
[2024-02-27 13:43:54.250] 2.34
[2024-02-27 13:43:54.250] -3.84
[2024-02-27 13:43:54.250] -11.72
[2024-02-27 13:43:54.250] -17.16
[2024-02-27 13:43:54.250] -14.81
[2024-02-27 13:43:54.250] -1.84
[2024-02-27 13:43:54.250] 19.06
[2024-02-27 13:43:54.250] 38.19
[2024-02-27 13:43:54.250] 43.38
[2024-02-27 13:43:54.250] 29.50
[2024-02-27 13:43:54.250] 5.09
[2024-02-27 13:43:54.250] -14.53
[2024-02-27 13:43:54.250] -20.75
[2024-02-27 13:43:54.250] -16.25
[2024-02-27 13:43:54.250] -9.63
[2024-02-27 13:43:54.250] -7.59
[2024-02-27 13:43:54.250] -10.94
[2024-02-27 13:43:54.250] -16.25
[2024-02-27 13:43:54.250] -19.03
[2024-02-27 13:43:54.250] -17.62
[2024-02-27 13:43:54.250] -12.84
[2024-02-27 13:43:54.250] -7.66
[2024-02-27 13:43:54.250] -4.44
[2024-02-27 13:43:54.250] -3.59
[2024-02-27 13:43:54.250] -4.16
[2024-02-27 13:43:54.250] -4.38
[2024-02-27 13:43:54.250] -3.41
[2024-02-27 13:43:54.250] -1.22
[2024-02-27 13:43:54.250] 1.44
[2024-02-27 13:43:54.250] 3.25
[2024-02-27 13:43:54.250] 3.44
[2024-02-27 13:43:54.250] 2.13
[2024-02-27 13:43:54.250] 0.37
[2024-02-27 13:43:54.250] -0.72
[2024-02-27 13:43:54.250] -0.50
[2024-02-27 13:43:54.250] 0.88
[2024-02-27 13:43:54.250] 2.19
[2024-02-27 13:43:54.250] 2.47
[2024-02-27 13:43:54.250] 1.75
[2024-02-27 13:43:54.250] 0.91
[2024-02-27 13:43:54.250] 0.63
[2024-02-27 13:43:54.250] 0.97
[2024-02-27 13:43:54.250] 1.72
[2024-02-27 13:43:54.250] 3.03
[2024-02-27 13:43:54.250] 4.44
[2024-02-27 13:43:54.250] 4.88
[2024-02-27 13:43:54.250] 3.56
[2024-02-27 13:43:54.250] 1.28
[2024-02-27 13:43:54.250] 0.00
[2024-02-27 13:43:54.250] 0.63
[2024-02-27 13:43:54.250] 2.28
[2024-02-27 13:43:54.250] 3.25
[2024-02-27 13:43:54.250] 2.88
[2024-02-27 13:43:54.250] 1.53
[2024-02-27 13:43:54.250] -0.50
[2024-02-27 13:43:54.250] -1.78
[2024-02-27 13:43:54.250] -1.81
[2024-02-27 13:43:54.250] -0.81
[2024-02-27 13:43:54.250] -0.06
[2024-02-27 13:43:54.250] -0.19
[2024-02-27 13:43:54.250] -0.94
[2024-02-27 13:43:54.250] -1.41
[2024-02-27 13:43:54.250] -1.56
[2024-02-27 13:43:54.250] -1.72
[2024-02-27 13:43:54.250] -1.84
[2024-02-27 13:43:54.250] -1.50
[2024-02-27 13:43:54.250] -0.66
[2024-02-27 13:43:54.250] 0.12
[2024-02-27 13:43:54.250] 0.44
[2024-02-27 13:43:54.250] 0.19
[2024-02-27 13:43:54.250] -0.37
[2024-02-27 13:43:54.250] -0.81
[2024-02-27 13:43:54.250] -0.47
[2024-02-27 13:43:54.250] 0.50
[2024-02-27 13:43:54.250] 2.25
[2024-02-27 13:43:54.250] 3.59
[2024-02-27 13:43:54.250] 3.78
[2024-02-27 13:43:54.250] 2.41
[2024-02-27 13:43:54.250] 0.91
[2024-02-27 13:43:54.250] 0.34
[2024-02-27 13:43:54.270] 0.72
[2024-02-27 13:43:54.270] 1.09
[2024-02-27 13:43:54.270] 0.94
[2024-02-27 13:43:54.270] 0.78
[2024-02-27 13:43:54.270] 1.34
[2024-02-27 13:43:54.270] 2.84
[2024-02-27 13:43:54.270] 4.88
[2024-02-27 13:43:54.270] 5.91
[2024-02-27 13:43:54.270] 4.81
[2024-02-27 13:43:54.270] 2.28
[2024-02-27 13:43:54.270] -0.16
[2024-02-27 13:43:54.270] -0.88
[2024-02-27 13:43:54.270] 0.28
[2024-02-27 13:43:54.270] 2.34
[2024-02-27 13:43:54.270] 3.88
[2024-02-27 13:43:54.270] 3.84
[2024-02-27 13:43:54.270] 2.25
[2024-02-27 13:43:54.270] 0.34
[2024-02-27 13:43:54.270] -0.22
[2024-02-27 13:43:54.270] 1.03
[2024-02-27 13:43:54.270] 2.75
[2024-02-27 13:43:54.270] 3.44
[2024-02-27 13:43:54.270] 2.84
[2024-02-27 13:43:54.270] 1.81
[2024-02-27 13:43:54.270] 1.66
[2024-02-27 13:43:54.270] 1.91
[2024-02-27 13:43:54.270] 2.09
[2024-02-27 13:43:54.270] 1.75
[2024-02-27 13:43:54.270] 1.06
[2024-02-27 13:43:54.270] 0.53
[2024-02-27 13:43:54.270] 0.16
[2024-02-27 13:43:54.270] 0.25
[2024-02-27 13:43:54.270] 0.78
[2024-02-27 13:43:54.270] 0.91
[2024-02-27 13:43:54.270] 0.25
[2024-02-27 13:43:54.270] -0.84
[2024-02-27 13:43:54.270] -1.19
[2024-02-27 13:43:54.270] -0.34
[2024-02-27 13:43:54.270] 0.69
[2024-02-27 13:43:54.270] 0.84
[2024-02-27 13:43:54.270] 0.28
[2024-02-27 13:43:54.270] -0.09
[2024-02-27 13:43:54.270] 0.53
[2024-02-27 13:43:54.270] 1.37
[2024-02-27 13:43:54.270] 2.09
[2024-02-27 13:43:54.270] 2.34
[2024-02-27 13:43:54.270] 1.78
[2024-02-27 13:43:54.270] 0.72
[2024-02-27 13:43:54.270] -0.25
[2024-02-27 13:43:54.270] -0.50
[2024-02-27 13:43:54.270] 0.31
[2024-02-27 13:43:54.270] 1.31
