[2024-02-29 14:21:25.471] 
[2024-02-29 14:21:25.471] 23.72
[2024-02-29 14:21:25.471] 16.97
[2024-02-29 14:21:25.471] 9.31
[2024-02-29 14:21:25.503] 1.16
[2024-02-29 14:21:25.503] -7.28
[2024-02-29 14:21:25.503] -15.41
[2024-02-29 14:21:25.503] -20.84
[2024-02-29 14:21:25.503] -21.91
[2024-02-29 14:21:25.503] -19.47
[2024-02-29 14:21:25.503] -16.25
[2024-02-29 14:21:25.503] -14.38
[2024-02-29 14:21:25.503] -13.34
[2024-02-29 14:21:25.503] -11.78
[2024-02-29 14:21:25.503] -9.75
[2024-02-29 14:21:25.503] -9.00
[2024-02-29 14:21:25.503] -10.63
[2024-02-29 14:21:25.503] -13.50
[2024-02-29 14:21:25.503] -14.75
[2024-02-29 14:21:25.503] -11.75
[2024-02-29 14:21:25.503] -3.94
[2024-02-29 14:21:25.503] 7.06
[2024-02-29 14:21:25.503] 18.50
[2024-02-29 14:21:25.503] 28.69
[2024-02-29 14:21:25.503] 37.22
[2024-02-29 14:21:25.503] 43.72
[2024-02-29 14:21:25.503] 46.69
[2024-02-29 14:21:25.503] 44.69
[2024-02-29 14:21:25.503] 37.50
[2024-02-29 14:21:25.503] 27.34
[2024-02-29 14:21:25.503] 18.19
[2024-02-29 14:21:25.503] 12.91
[2024-02-29 14:21:25.503] 12.44
[2024-02-29 14:21:25.503] 15.50
[2024-02-29 14:21:25.503] 19.84
[2024-02-29 14:21:25.503] 23.09
[2024-02-29 14:21:25.503] 23.75
[2024-02-29 14:21:25.503] 21.28
[2024-02-29 14:21:25.503] 16.22
[2024-02-29 14:21:25.503] 9.69
[2024-02-29 14:21:25.503] 1.34
[2024-02-29 14:21:25.503] -10.47
[2024-02-29 14:21:25.503] -26.91
[2024-02-29 14:21:25.503] -45.09
[2024-02-29 14:21:25.503] -58.19
[2024-02-29 14:21:25.503] -58.75
[2024-02-29 14:21:25.503] -45.25
[2024-02-29 14:21:25.503] -23.94
[2024-02-29 14:21:25.503] -5.34
[2024-02-29 14:21:25.503] 2.06
[2024-02-29 14:21:25.503] -2.44
[2024-02-29 14:21:25.503] -13.31
[2024-02-29 14:21:25.503] -22.50
[2024-02-29 14:21:25.503] -24.47
[2024-02-29 14:21:25.503] -18.09
[2024-02-29 14:21:25.503] -5.81
[2024-02-29 14:21:25.503] 8.16
[2024-02-29 14:21:25.503] 19.37
[2024-02-29 14:21:25.503] 24.72
[2024-02-29 14:21:25.503] 23.69
[2024-02-29 14:21:25.503] 19.09
[2024-02-29 14:21:25.503] 13.78
[2024-02-29 14:21:25.503] 8.81
[2024-02-29 14:21:25.503] 4.03
[2024-02-29 14:21:25.503] -1.28
[2024-02-29 14:21:25.503] -6.44
[2024-02-29 14:21:25.503] -9.66
[2024-02-29 14:21:25.503] -8.50
[2024-02-29 14:21:25.503] -2.03
[2024-02-29 14:21:25.503] 7.88
[2024-02-29 14:21:25.503] 17.28
[2024-02-29 14:21:25.503] 22.72
[2024-02-29 14:21:25.503] 22.62
[2024-02-29 14:21:25.503] 18.09
[2024-02-29 14:21:25.503] 11.19
[2024-02-29 14:21:25.503] 3.78
[2024-02-29 14:21:25.503] -2.78
[2024-02-29 14:21:25.503] -7.59
[2024-02-29 14:21:25.503] -9.03
[2024-02-29 14:21:25.503] -6.09
[2024-02-29 14:21:25.503] 0.44
[2024-02-29 14:21:25.503] 7.53
[2024-02-29 14:21:25.503] 11.06
[2024-02-29 14:21:25.503] 9.28
[2024-02-29 14:21:25.503] 4.38
[2024-02-29 14:21:25.503] 0.50
[2024-02-29 14:21:25.503] 1.44
[2024-02-29 14:21:25.503] 6.97
[2024-02-29 14:21:25.503] 14.16
[2024-02-29 14:21:25.503] 19.97
[2024-02-29 14:21:25.503] 22.97
[2024-02-29 14:21:25.503] 23.56
[2024-02-29 14:21:25.503] 21.97
[2024-02-29 14:21:25.503] 17.69
[2024-02-29 14:21:25.503] 10.03
[2024-02-29 14:21:25.503] 0.09
[2024-02-29 14:21:25.503] -9.53
[2024-02-29 14:21:25.503] -16.41
[2024-02-29 14:21:25.503] -19.69
[2024-02-29 14:21:25.503] -19.09
[2024-02-29 14:21:25.503] -15.13
[2024-02-29 14:21:25.503] -8.84
[2024-02-29 14:21:25.503] -1.88
