timestamp,Value
0.012,-97.75
0.012,-88.37
0.027,-98.94
0.037,-110.31
0.037,-109.25
0.037,-95.5
0.048,-77.5
0.057,-64.0
0.067,-58.38
0.067,-57.25
0.077,-56.06
0.092,-51.44
0.097,-44.13
0.097,-36.31
0.107,-30.12
0.117,-26.06
0.127,-23.25
0.137,-20.09
0.137,-16.41
0.147,-12.16
0.157,-8.03
0.167,-4.53
0.177,-1.66
0.177,0.81
0.187,3.13
0.197,5.63
0.207,8.06
0.217,10.25
0.227,12.25
0.227,13.94
0.237,15.5
0.247,17.0
0.257,18.47
0.267,19.84
0.277,21.12
0.277,22.12
0.287,23.03
0.297,23.69
0.307,24.31
0.307,24.81
0.317,25.31
0.327,25.78
0.337,26.09
0.337,26.25
0.347,26.37
0.357,26.47
0.367,26.53
0.377,26.53
0.387,26.47
0.387,26.34
0.397,26.06
0.407,25.81
0.417,25.53
0.427,25.16
0.427,24.75
0.437,24.41
0.447,23.94
0.457,23.41
0.467,22.91
0.477,22.37
0.477,21.75
0.487,21.25
0.497,20.56
0.507,19.87
0.507,19.25
0.517,18.59
0.527,17.91
0.537,17.19
0.547,16.56
0.547,15.81
0.557,15.06
0.567,14.44
0.577,13.66
0.587,12.97
0.597,12.28
0.608,11.59
0.61,10.81
0.619,10.13
0.629,9.44
0.629,8.72
0.639,8.06
0.649,7.38
0.659,6.66
0.669,6.03
0.669,5.41
0.679,4.69
0.689,4.09
0.699,3.44
0.699,2.84
0.709,2.28
0.719,1.66
0.729,1.16
0.739,0.53
0.739,-0.03
0.749,-0.56
0.759,-1.09
0.769,-1.56
0.779,-2.09
0.789,-2.56
0.789,-3.0
0.799,-3.41
0.809,-3.88
0.819,-4.28
0.829,-4.63
0.829,-5.06
0.839,-5.34
0.849,-5.75
0.859,-6.03
0.859,-6.34
0.879,-6.69
0.879,-6.94
0.889,-7.16
0.899,-7.5
0.909,-7.69
0.909,-7.88
0.919,-8.09
0.929,-8.34
0.939,-8.47
0.949,-8.63
0.949,-8.84
0.959,-8.94
0.969,-9.03
0.979,-9.13
0.989,-9.25
0.989,-9.34
0.999,-9.41
1.009,-9.5
1.019,-9.63
1.029,-9.59
1.029,-9.63
1.039,-9.69
1.049,-9.72
1.059,-9.66
1.069,-9.66
1.069,-9.63
1.079,-9.56
1.089,-9.5
1.099,-9.44
1.109,-9.44
1.109,-9.34
1.12,-9.28
1.132,-9.19
1.14,-9.06
1.14,-8.97
1.15,-8.84
1.16,-8.75
1.17,-8.59
1.18,-8.47
1.19,-8.31
1.19,-8.22
1.2,-8.06
1.21,-8.0
1.22,-7.88
1.23,-7.69
1.23,-7.53
1.24,-7.34
1.25,-7.22
1.26,-7.0
1.27,-6.81
1.27,-6.63
1.28,-6.47
1.29,-6.22
1.3,-6.09
1.31,-5.91
1.31,-5.69
1.32,-5.53
1.33,-5.28
1.34,-5.09
1.35,-4.84
1.35,-4.75
1.36,-4.5
1.37,-4.25
1.38,-4.13
1.39,-3.91
1.39,-3.75
1.4,-3.53
1.41,-3.31
1.42,-3.13
1.43,-2.94
1.43,-2.66
1.44,-2.5
1.45,-2.31
1.46,-2.06
1.46,-1.94
1.47,-1.69
1.48,-1.56
1.49,-1.28
1.5,-1.12
1.51,-0.88
1.51,-0.66
1.52,-0.5
1.53,-0.28
1.54,-0.16
1.55,0.0
1.55,0.16
1.56,0.41
1.57,0.59
1.58,0.84
1.59,1.03
1.6,1.25
1.6,1.31
1.61,1.47
1.62,1.66
1.63,1.78
1.63,2.0
1.642,2.13
1.651,2.25
1.662,2.44
1.662,2.53
1.672,2.69
1.682,2.84
1.692,3.0
1.702,3.13
1.702,3.22
1.712,3.39
1.722,3.52
1.732,3.63
1.742,3.72
1.752,3.86
1.752,3.98
1.762,4.08
1.772,4.22
1.782,4.31
1.782,4.42
1.792,4.45
1.802,4.48
1.812,4.52
1.822,4.63
1.832,4.72
1.832,4.89
1.842,5.02
1.852,5.06
1.862,5.11
1.862,5.09
1.872,5.13
1.882,5.22
1.892,5.39
1.902,5.53
1.912,5.59
1.912,5.66
1.922,5.72
1.932,5.78
1.942,5.89
1.952,6.03
1.952,6.16
1.962,6.31
1.972,6.39
1.982,6.39
1.992,6.39
2.002,6.41
2.002,6.47
2.012,6.52
2.022,6.58
2.032,6.59
2.032,6.64
2.042,6.67
2.052,6.72
2.062,6.73
2.072,6.81
2.072,6.8
2.082,6.83
2.092,6.83
2.102,6.83
2.112,6.88
2.112,6.88
2.122,6.92
2.132,6.95
2.142,6.95
2.152,6.98
2.162,6.98
2.168,6.98
2.176,7.0
2.186,7.02
2.186,6.95
2.196,6.98
2.206,6.97
2.206,7.02
2.216,7.0
2.226,6.98
2.236,7.0
2.246,6.98
2.256,7.0
2.256,7.0
2.266,6.95
2.276,7.0
