timestamp,Value
0.003,0.37
0.013,13.31
0.013,5.03
0.023,-13.44
0.033,-16.81
0.043,-0.19
0.053,12.94
0.063,4.69
0.063,-14.31
0.073,-18.16
0.083,-1.69
0.093,11.84
0.093,4.03
0.113,-14.72
0.113,-18.47
0.123,-2.03
0.133,11.47
0.143,3.72
0.143,-14.91
0.153,-18.56
0.163,-2.13
0.163,11.28
0.173,3.59
0.183,-14.94
0.193,-18.53
0.203,-1.88
0.213,11.59
0.213,3.25
0.223,-18.03
0.233,-26.37
0.243,-12.63
0.253,4.0
0.263,2.94
0.263,-14.5
0.273,-26.37
0.283,-18.91
0.293,-3.34
0.303,0.59
0.313,-11.78
0.313,-24.34
0.323,-21.31
0.333,-7.25
0.343,0.06
0.343,-8.78
0.353,-22.28
0.363,-22.59
0.373,-9.41
0.373,1.06
0.383,-4.91
0.393,-19.69
0.403,-23.53
0.413,-10.94
0.413,2.81
0.423,0.06
0.433,-15.28
0.447,-22.06
0.452,-10.69
0.462,4.81
0.472,4.06
0.472,-12.03
0.482,-21.03
0.492,-10.25
0.502,7.22
0.512,8.34
0.512,-8.25
0.522,-19.44
0.532,-9.41
0.532,9.59
0.542,12.31
0.552,-4.84
0.562,-17.75
0.572,-8.41
0.582,11.81
0.582,16.5
0.592,0.37
0.602,-13.09
0.612,-5.19
0.622,13.84
0.622,18.31
0.632,2.59
0.642,-10.5
0.652,-2.5
0.662,16.19
0.672,20.03
0.672,3.81
0.692,-9.28
0.692,-1.28
0.712,17.62
0.712,21.37
0.722,4.97
0.722,-8.5
0.732,-0.63
0.732,18.19
0.766,22.12
0.778,6.0
0.778,-7.63
0.789,0.06
0.795,20.06
0.795,26.84
0.81,12.41
0.822,-3.0
0.83,0.44
0.83,17.78
0.845,25.84
0.861,14.75
0.87,0.47
0.87,1.34
0.87,14.75
0.886,20.66
0.892,10.0
0.892,-2.22
0.899,0.81
0.914,15.81
0.919,22.84
0.935,12.28
0.941,-1.66
0.941,-1.34
0.947,12.28
0.955,20.5
0.969,12.09
0.978,-1.12
0.988,-1.84
0.993,11.41
1.005,21.59
1.014,15.5
1.014,1.5
1.018,-2.66
1.026,8.31
1.033,20.16
1.033,17.34
1.044,4.03
1.054,-3.16
1.063,4.78
1.073,16.69
1.084,16.25
1.084,4.25
1.093,-4.19
1.113,1.97
1.113,13.75
1.124,14.47
1.133,3.0
1.143,-6.0
1.143,-0.59
1.154,11.84
1.163,13.97
1.173,2.56
1.183,-7.88
1.183,-3.5
1.193,9.78
1.203,13.56
1.214,2.53
1.214,-9.25
1.223,-6.06
1.234,7.41
1.234,12.47
1.243,2.06
1.253,-10.25
1.263,-7.13
1.273,8.16
1.283,15.0
1.283,3.97
1.293,-11.38
1.293,-10.66
1.303,4.84
1.313,13.94
1.323,4.25
1.333,-11.53
1.343,-11.88
1.343,3.84
1.353,13.91
1.363,4.31
1.373,-12.63
1.383,-14.38
1.393,1.09
1.393,11.94
1.403,3.34
1.413,-13.19
1.423,-14.59
1.433,1.75
1.433,13.19
1.443,4.13
1.463,-14.06
1.463,-16.56
1.473,0.16
1.473,12.84
1.487,4.41
1.495,-13.97
1.507,-17.19
1.517,-0.72
1.527,12.25
1.537,4.16
1.537,-14.28
1.547,-17.53
1.547,-0.84
1.557,12.56
1.567,4.44
1.577,-14.31
1.587,-17.97
1.587,-1.37
1.597,12.16
1.607,4.34
1.617,-14.31
1.647,-18.0
1.647,-1.41
1.647,12.06
1.647,4.38
1.667,-14.13
1.667,-17.72
1.687,-1.22
1.687,12.38
1.687,4.78
1.697,-13.78
1.707,-17.44
1.717,-1.03
1.727,12.56
1.737,4.75
1.747,-15.53
1.757,-22.5
1.757,-8.03
1.776,7.72
1.831,4.63
1.831,-13.44
1.845,-23.66
1.846,-14.0
1.846,1.44
1.846,3.19
1.846,-10.63
1.846,-21.72
1.85,-16.03
1.85,-1.94
1.862,2.41
1.874,-8.66
1.874,-21.22
1.882,-18.91
1.892,-5.19
1.901,2.97
1.905,-5.16
1.915,-19.25
1.915,-20.87
1.925,-7.72
1.935,3.91
1.945,-1.22
1.955,-16.84
1.955,-22.09
1.965,-9.72
1.975,5.44
1.985,4.25
1.995,-10.91
2.01,-18.66
2.016,-8.22
2.016,7.28
2.022,7.22
2.032,-8.09
2.032,-17.0
2.042,-6.69
2.052,10.19
2.062,11.06
2.072,-5.31
2.072,-16.06
2.082,-6.38
2.092,11.84
2.092,14.13
2.102,-2.47
2.112,-14.75
2.122,-5.56
2.122,13.66
2.132,17.19
2.142,0.63
2.152,-12.56
2.162,-4.16
2.162,15.19
2.172,19.34
2.182,3.19
2.192,-10.09
2.202,-2.16
2.212,16.75
2.212,20.62
2.222,4.44
2.232,-8.88
2.242,-0.91
2.252,17.84
2.262,21.56
2.262,5.16
2.272,-8.28
2.282,-0.53
2.292,18.12
2.292,21.81
2.302,5.38
2.312,-8.19
2.322,-0.37
2.322,18.19
2.342,21.91
2.342,5.47
2.352,-8.28
2.362,-0.66
2.372,18.09
2.372,22.28
2.382,6.25
2.392,-7.75
2.402,-1.0
2.412,17.81
2.412,23.47
2.422,8.81
2.432,-5.78
2.442,-1.28
2.452,15.78
2.462,21.75
2.462,8.59
2.472,-5.22
2.482,-1.41
2.482,15.09
2.492,22.03
2.502,10.28
2.512,-3.88
2.523,-2.31
2.531,11.97
2.542,18.5
2.542,7.91
2.552,-5.0
2.562,-2.81
2.572,12.34
2.572,20.78
2.582,11.53
2.592,-2.91
2.602,-4.16
2.602,9.63
2.622,21.19
2.632,16.03
2.632,1.59
2.642,-4.34
2.652,4.41
2.652,14.34
2.662,11.34
2.672,-0.19
2.682,-4.5
2.682,5.81
2.692,18.81
2.702,17.69
2.712,3.69
2.722,-6.78
2.732,-1.81
2.732,10.09
2.742,11.91
2.752,1.53
2.762,-6.72
2.772,0.0
2.772,14.38
2.782,17.47
2.792,4.56
2.802,-8.97
2.812,-5.25
2.822,11.41
2.822,19.09
2.832,7.63
2.842,-8.97
2.842,-9.66
2.852,5.06
2.862,14.06
2.872,4.97
2.882,-11.56
2.892,-18.53
2.892,-15.13
2.902,-12.88
2.912,-15.19
2.922,-16.37
2.932,-16.31
2.932,-22.94
2.942,-35.66
2.952,-38.66
2.962,-23.59
2.972,-4.72
2.972,-5.09
2.982,-24.87
2.992,-38.0
3.002,-25.22
3.012,5.09
3.022,24.72
3.032,16.84
3.04,-6.03
3.046,-17.06
3.049,-1.91
3.059,24.66
3.059,34.16
3.069,17.69
3.089,-4.75
3.089,-6.78
3.099,11.84
3.109,25.59
3.109,17.25
3.119,-1.34
3.129,-5.34
3.139,9.44
3.149,20.78
3.159,12.5
3.159,-5.09
3.169,-8.0
3.179,7.25
3.189,18.53
3.199,9.91
3.199,-7.97
3.209,-10.69
3.219,5.34
3.219,17.31
3.239,8.59
