timestamp,Value
0.000,26.090
0.010,21.470
0.020,17.970
0.030,14.720
0.030,10.030
0.040,2.940
0.050,-6.630
0.060,-16.780
0.070,-25.750
0.070,-31.340
0.080,-32.910
0.090,-30.410
0.100,-24.190
0.110,-15.160
0.120,-5.090
0.120,3.090
0.130,7.500
0.140,8.440
0.150,8.220
0.150,9.220
0.160,12.220
0.170,15.750
0.180,17.870
0.190,17.370
0.190,15.000
0.200,12.750
0.210,12.880
0.220,15.380
0.230,18.090
0.230,18.310
0.240,14.410
0.250,7.060
0.260,-1.840
0.270,-10.280
0.270,-16.870
0.280,-20.410
0.290,-19.810
0.300,-14.030
0.310,-4.130
0.320,7.470
0.320,17.250
0.330,23.810
0.340,26.910
0.350,26.940
0.360,24.810
0.360,21.220
0.370,16.250
0.380,10.220
0.390,3.280
0.390,-3.560
0.400,-8.910
0.410,-10.720
0.420,-8.310
0.430,-3.590
0.440,0.060
0.440,0.750
0.450,-0.470
0.461,-0.810
0.471,2.410
0.474,9.280
0.484,16.530
0.494,19.060
0.504,13.810
0.504,2.220
0.514,-10.780
0.524,-19.560
0.534,-21.090
0.534,-16.780
0.544,-11.970
0.554,-11.810
0.564,-18.470
0.564,-30.280
0.574,-43.780
0.584,-54.750
0.594,-60.660
0.604,-62.000
0.614,-61.560
0.614,-61.220
0.624,-60.690
0.634,-57.840
0.644,-50.940
0.654,-40.630
0.664,-29.120
0.664,-18.340
0.674,-8.910
0.684,-0.340
0.694,8.880
0.704,19.660
0.704,32.130
0.714,45.560
0.724,58.160
0.734,66.810
0.744,68.750
0.744,63.690
0.754,54.630
0.764,45.910
0.774,40.130
0.774,37.030
0.784,34.190
0.794,29.160
0.804,21.780
0.814,13.560
0.814,6.910
0.824,2.940
0.834,0.970
0.844,0.310
0.854,0.340
0.864,0.470
0.864,0.370
0.874,-0.440
0.884,-1.940
0.894,-4.030
0.894,-6.590
0.904,-9.840
0.914,-13.880
0.924,-17.910
0.934,-20.340
0.944,-20.160
0.944,-16.970
0.954,-11.630
0.964,-5.090
0.976,1.500
0.981,7.000
0.988,10.090
0.998,10.500
1.008,8.560
1.018,5.250
1.018,1.910
1.028,-1.310
1.038,-4.690
1.048,-8.590
1.058,-12.060
1.058,-14.280
1.068,-14.940
1.078,-15.470
1.088,-17.310
1.088,-21.280
1.098,-26.780
1.108,-31.560
1.118,-33.940
1.126,-33.440
1.126,-31.660
1.136,-30.250
1.146,-29.340
1.156,-27.620
1.166,-22.940
1.176,-13.880
1.176,-1.190
1.186,12.130
1.196,22.310
1.206,26.910
1.216,25.440
1.216,19.690
1.226,12.970
1.236,7.690
1.246,4.530
1.256,2.750
1.266,1.220
1.266,-0.160
1.276,-0.590
1.286,1.160
1.296,5.440
1.306,11.410
1.306,17.810
1.316,24.030
1.326,29.220
1.336,32.880
1.336,34.380
1.346,33.410
1.356,29.340
1.366,22.120
1.376,12.660
1.376,3.090
1.386,-4.470
1.396,-9.590
1.406,-13.630
1.416,-17.720
1.426,-21.840
1.426,-25.090
1.436,-26.000
1.446,-23.560
1.456,-17.940
1.456,-11.190
1.466,-6.060
1.476,-4.380
1.486,-5.410
1.497,-7.380
1.504,-9.220
1.510,-11.220
1.520,-14.060
1.520,-18.310
1.530,-24.250
1.540,-31.590
1.550,-39.340
1.560,-46.310
1.570,-50.780
1.570,-51.660
1.580,-48.530
1.590,-42.250
1.600,-34.060
1.610,-24.160
1.610,-12.250
1.620,1.090
1.630,14.190
1.640,24.160
1.650,29.160
1.650,29.870
1.660,28.970
1.670,28.750
1.680,30.160
1.690,31.810
1.690,31.970
1.700,29.940
1.710,27.030
1.720,25.280
1.730,25.840
1.730,28.690
1.740,32.130
1.750,34.910
1.760,35.280
1.770,32.780
1.780,28.370
1.780,23.840
1.790,20.910
1.800,19.500
1.810,18.220
1.820,15.660
1.820,12.090
1.830,9.130
1.840,7.630
1.840,6.780
1.860,5.130
1.860,1.500
1.870,-3.410
1.880,-8.720
1.890,-12.810
1.890,-14.130
1.900,-11.910
1.910,-6.590
1.920,0.530
1.930,7.380
1.930,12.530
1.940,15.810
1.950,17.440
1.960,17.560
1.970,15.810
1.980,11.380
1.980,3.840
1.990,-5.910
2.000,-15.780
2.011,-23.340
2.022,-27.220
2.022,-28.030
2.033,-28.220
2.033,-29.720
2.053,-32.090
2.063,-33.750
2.063,-33.840
2.073,-33.160
2.083,-33.090
2.093,-33.910
2.093,-34.130
2.103,-32.130
2.113,-27.340
2.123,-20.440
2.123,-13.380
2.133,-8.220
2.143,-5.380
2.153,-3.660
2.163,-1.810
2.173,0.750
2.173,3.190
2.183,4.530
2.193,4.530
2.203,4.130
2.213,4.280
2.213,5.780
2.223,9.060
2.233,13.310
2.243,17.500
2.243,21.220
2.253,24.440
2.263,27.280
2.273,29.780
2.273,31.340
2.283,31.870
2.293,31.250
2.303,29.440
2.313,26.190
2.323,21.530
2.323,15.840
2.333,8.840
2.343,1.030
2.353,-5.880
2.363,-9.940
2.373,-9.440
2.373,-4.410
2.383,3.530
2.393,11.660
2.403,17.220
2.403,19.410
2.423,19.280
2.423,18.120
2.433,16.620
2.443,15.500
2.443,14.910
2.453,14.280
2.463,13.590
2.473,13.500
2.483,15.030
2.493,17.910
2.493,19.870
2.503,18.370
2.513,12.720
2.523,5.090
2.523,-1.340
2.535,-4.090
2.545,-2.410
2.555,3.380
2.565,11.630
2.565,20.220
2.575,27.090
2.585,31.190
2.595,32.130
2.595,30.310
2.615,26.560
2.615,21.660
2.625,16.370
2.635,11.440
2.635,6.970
2.645,2.970
2.655,-0.190
2.665,-2.590
2.675,-3.910
2.675,-4.030
2.685,-2.840
2.695,-0.470
2.705,2.000
2.715,3.130
2.725,2.410
2.725,0.750
2.735,-0.370
2.745,0.060
2.755,2.630
2.765,6.470
2.775,9.220
2.775,9.130
2.785,6.030
2.795,1.910
2.805,-0.500
2.815,-0.160
2.815,2.090
2.825,3.840
2.835,3.440
2.845,0.970
2.845,-2.130
2.855,-4.440
2.865,-5.660
2.875,-6.090
2.885,-6.160
2.885,-5.660
2.895,-4.380
2.905,-2.720
2.915,-1.160
2.925,-0.660
2.925,-1.810
2.935,-4.380
2.945,-7.190
2.955,-9.130
2.965,-9.470
2.965,-8.810
2.985,-8.280
2.985,-9.160
2.995,-11.250
2.995,-13.970
3.005,-15.970
3.015,-17.250
3.025,-18.410
3.035,-19.940
3.045,-21.190
3.045,-21.470
3.056,-21.470
3.070,-22.750
3.070,-26.970
3.080,-33.250
3.090,-38.940
3.100,-41.440
3.110,-40.250
3.120,-37.160
3.120,-33.810
3.130,-30.440
3.140,-26.750
3.150,-22.560
3.150,-18.410
3.170,-14.560
3.170,-11.130
3.180,-7.470
3.190,-3.590
3.200,0.280
3.200,3.720
3.210,6.470
3.220,8.970
3.220,11.970
3.230,16.470
3.240,22.780
3.250,30.190
3.260,37.590
3.270,43.630
3.270,47.590
3.280,49.440
3.290,49.690
3.300,48.690
3.310,45.690
3.320,39.940
3.320,31.780
3.330,23.870
3.340,18.690
3.350,17.590
3.350,19.190
3.370,21.370
3.370,22.440
3.380,22.500
3.390,22.440
3.390,22.560
3.400,22.120
3.410,20.370
3.420,17.060
3.430,13.470
3.430,10.660
3.440,8.560
3.450,5.310
3.460,-0.120
3.470,-7.530
3.470,-14.660
3.480,-18.940
3.490,-19.530
3.500,-17.120
3.509,-14.440
3.520,-13.310
3.520,-14.160
3.529,-16.340
3.540,-19.000
3.549,-21.410
3.559,-22.530
3.570,-21.590
3.570,-18.280
3.581,-12.750
3.591,-6.030
3.591,1.090
3.603,6.970
3.613,10.060
3.623,10.880
3.623,11.090
3.633,12.660
3.643,15.750
3.653,19.310
3.663,22.310
3.663,24.340
3.673,25.810
3.683,27.220
3.693,28.970
3.703,30.750
3.703,31.780
3.713,31.030
3.723,27.660
3.733,22.000
3.743,15.310
3.743,9.250
3.753,5.160
3.763,3.060
3.773,1.780
