timestamp,Value
0.006,7.75
0.016,-0.34
0.026,-4.91
0.036,0.97
0.036,9.22
0.05,7.16
0.054,-3.78
0.064,-9.53
0.074,-2.97
0.084,7.41
0.084,7.78
0.094,-1.41
0.104,-6.66
0.114,-1.28
0.124,6.75
0.134,4.81
0.144,-4.94
0.144,-8.78
0.154,-1.0
0.164,8.53
0.174,6.38
0.174,-4.53
0.184,-9.25
0.194,-1.59
0.194,7.97
0.204,5.81
0.214,-5.31
0.224,-10.38
0.234,-3.09
0.244,6.41
0.244,4.5
0.254,-6.0
0.264,-10.28
0.274,-2.16
0.284,7.56
0.284,5.5
0.294,-4.97
0.304,-8.59
0.314,-0.28
0.324,8.63
0.334,4.97
0.334,-6.56
0.344,-10.19
0.354,-1.06
0.364,8.66
0.364,5.47
0.374,-6.16
0.384,-10.13
0.394,-1.69
0.404,7.38
0.414,4.28
0.414,-5.91
0.424,-7.91
0.434,1.66
0.444,9.91
0.444,4.53
0.454,-7.88
0.464,-10.63
0.474,-0.37
0.484,9.31
0.494,5.84
0.494,-4.5
0.504,-5.34
0.514,5.38
0.524,13.19
0.534,5.75
0.534,-8.16
0.544,-10.38
0.555,1.53
0.563,11.56
0.563,6.13
0.573,-7.09
0.583,-10.5
0.593,-0.75
0.603,8.06
0.613,3.22
0.613,-8.41
0.623,-10.59
0.633,-0.66
0.643,7.63
0.653,2.78
0.663,-7.97
0.663,-8.59
0.673,2.38
0.683,10.47
0.693,3.97
0.703,-8.75
0.713,-10.06
0.713,1.56
0.723,11.0
0.733,5.44
0.733,-7.41
0.743,-9.88
0.753,0.47
0.763,9.25
0.773,4.19
0.773,-7.53
0.783,-8.72
0.793,2.56
0.803,11.31
0.813,5.41
0.813,-6.94
0.823,-8.38
0.833,2.56
0.843,11.09
0.853,4.5
0.863,-8.81
0.863,-11.53
0.873,-1.22
0.883,7.97
0.893,3.91
0.903,-6.41
0.913,-7.25
0.913,2.69
0.923,9.78
0.923,3.25
0.933,-8.47
0.943,-9.28
0.953,2.03
0.963,10.5
0.973,4.09
0.973,-9.06
0.983,-11.72
0.993,-1.12
1.003,8.34
1.013,4.56
1.023,-5.88
1.023,-6.94
1.033,2.91
1.043,10.03
1.053,4.44
1.065,-5.97
1.07,-6.28
1.08,3.38
1.08,9.25
1.09,2.75
1.1,-7.0
1.1,-6.31
1.11,3.0
1.12,7.44
1.13,0.34
1.14,-7.78
1.14,-4.53
1.15,5.53
1.16,8.16
1.17,-1.72
1.18,-11.72
1.19,-8.09
1.19,3.78
1.2,8.0
1.21,-1.59
1.22,-11.84
1.23,-8.34
1.24,3.97
1.24,9.0
1.25,0.75
1.26,-8.06
1.27,-4.22
1.28,6.72
1.29,9.97
1.29,1.5
1.3,-5.97
1.3,-1.31
1.31,9.06
1.32,10.66
1.33,1.03
1.34,-7.03
1.35,-2.5
1.35,7.13
1.36,7.66
1.37,-2.22
1.38,-8.5
1.39,-1.53
1.39,9.22
1.4,8.56
1.41,-3.53
1.42,-11.34
1.43,-4.16
1.44,7.75
1.44,8.5
1.45,-2.72
1.46,-10.09
1.47,-3.09
1.48,8.13
1.49,7.69
1.49,-4.66
1.5,-12.84
1.51,-5.84
1.51,6.75
1.52,8.53
1.53,-2.0
1.54,-10.13
1.55,-4.75
1.55,4.97
1.56,4.0
1.576,-7.28
1.577,-12.97
1.587,-3.44
1.597,10.19
1.607,11.84
1.617,1.69
1.617,-5.03
1.627,0.91
1.637,10.09
1.647,9.72
1.657,1.25
1.667,-2.53
1.667,4.59
1.677,12.25
1.687,10.03
1.687,1.53
1.697,-0.81
1.707,6.66
1.717,12.94
1.727,9.22
1.727,0.75
1.737,-0.22
1.747,8.09
1.757,13.81
1.767,9.13
1.767,0.47
1.777,-1.06
1.787,5.84
1.797,9.72
1.807,3.97
1.817,-3.81
1.817,-2.84
1.827,6.0
1.837,10.03
1.847,3.03
1.857,-6.5
1.857,-6.66
1.867,2.34
1.877,8.03
1.887,3.16
1.887,-4.81
1.897,-4.84
1.907,2.94
1.917,7.34
1.927,2.69
1.937,-3.78
1.937,-2.88
1.947,3.75
1.957,5.63
1.967,-0.84
1.977,-6.5
1.977,-3.06
1.987,5.66
1.997,7.75
2.007,0.5
2.017,-5.91
2.027,-3.06
2.027,4.75
2.037,6.13
2.047,-0.84
2.047,-5.78
2.057,-1.47
2.067,6.38
2.079,6.03
2.084,-2.53
2.094,-7.31
2.104,-1.41
2.104,7.91
2.114,7.72
2.124,-1.06
2.134,-5.88
2.144,-0.03
2.144,8.19
2.154,6.5
2.164,-3.09
2.174,-7.28
2.184,-0.25
2.184,8.41
2.194,5.72
2.204,-5.75
2.214,-11.09
2.224,-3.5
2.234,7.13
2.234,6.81
2.244,-2.56
2.254,-6.59
2.264,0.0
2.264,7.5
2.274,4.28
2.284,-5.28
2.294,-7.25
2.304,1.72
2.314,9.81
2.314,5.22
2.324,-6.38
2.334,-9.22
2.344,0.12
2.344,8.97
2.364,5.47
2.364,-4.56
2.374,-5.69
2.384,4.09
2.394,11.19
2.394,4.41
2.404,-7.97
2.414,-9.19
2.424,2.28
2.424,11.22
2.434,4.75
2.444,-8.78
2.454,-11.63
2.464,-0.72
2.464,8.81
2.474,3.66
2.484,-9.25
2.494,-11.84
2.504,-1.0
2.514,8.56
2.514,3.38
2.524,-9.5
2.534,-12.56
2.544,-2.34
2.554,7.16
2.564,2.81
2.564,-8.53
2.574,-10.25
2.59,0.37
2.594,9.06
2.604,3.47
2.614,-8.66
2.614,-10.25
2.624,0.41
2.624,8.88
2.634,3.25
2.644,-8.53
2.654,-9.53
2.664,1.56
2.664,9.72
