timestamp,Value
0.006,2.72
0.016,3.09
0.016,2.72
0.026,1.63
0.036,0.12
0.046,-0.91
0.056,-0.94
0.056,0.44
0.073,2.75
0.078,4.41
0.088,4.41
0.098,2.94
0.098,1.16
0.108,0.19
0.118,-0.03
0.128,0.19
0.138,0.31
0.148,0.22
0.148,-0.34
0.158,-1.44
0.168,-2.78
0.178,-3.66
0.188,-3.81
0.188,-3.56
0.198,-3.34
0.208,-2.81
0.218,-1.53
0.218,0.5
0.228,2.75
0.238,4.22
0.248,4.19
0.248,2.53
0.258,0.16
0.268,-1.31
0.278,-1.47
0.288,-1.16
0.298,-1.03
0.308,-0.88
0.318,0.0
0.318,1.37
0.328,2.19
0.338,1.84
0.348,0.78
0.358,-0.37
0.368,-0.63
0.368,0.19
0.378,1.37
0.388,2.03
0.398,1.75
0.398,1.25
0.408,1.19
0.428,1.66
0.428,2.03
0.438,2.19
0.448,2.06
0.458,1.91
0.458,1.56
0.468,0.97
0.484,0.37
0.486,0.06
0.496,0.06
0.506,0.28
0.506,0.97
0.516,2.0
0.526,2.75
0.536,2.81
0.546,1.97
0.556,0.81
0.556,-0.09
0.566,-0.66
0.576,-0.94
0.587,-1.12
0.587,-1.12
0.602,-1.12
0.609,-1.19
0.611,-1.06
0.621,-0.88
0.631,-0.28
0.641,0.53
0.651,1.41
0.651,1.69
0.661,1.5
0.671,1.47
0.681,1.81
0.681,2.38
0.691,3.06
0.711,3.44
0.711,3.06
0.721,2.03
0.731,1.09
0.741,0.72
0.751,1.16
0.761,1.94
0.771,2.28
0.771,1.84
0.781,0.44
0.781,-1.44
0.791,-2.69
0.801,-3.0
0.811,-2.69
0.821,-2.69
0.821,-2.97
0.831,-3.06
0.841,-2.63
0.856,-1.44
0.857,0.31
0.867,1.81
0.877,2.09
0.887,0.81
0.897,-0.69
0.897,-0.94
0.907,0.28
0.917,1.97
0.927,3.13
0.937,3.41
0.947,3.41
0.957,3.34
0.957,3.34
0.967,3.22
0.977,2.59
0.977,1.59
0.987,0.25
0.997,-0.88
0.997,-1.44
0.997,-1.37
1.007,-1.09
1.023,-0.84
1.023,-0.88
1.033,-1.16
1.043,-1.25
1.053,-0.72
1.063,0.41
1.073,1.09
1.073,0.81
1.083,-0.41
1.093,-1.59
1.103,-1.84
1.113,-0.63
1.123,1.28
1.127,2.81
1.136,3.06
1.137,1.97
1.147,0.16
1.147,-1.31
1.167,-1.41
1.177,-0.06
1.187,1.75
1.187,2.72
1.197,2.22
1.207,0.59
1.217,-1.06
1.217,-1.53
1.227,-0.56
1.237,0.88
1.247,1.34
1.247,0.78
1.257,0.16
1.267,0.22
1.277,0.81
1.287,0.94
1.297,-0.16
1.307,-1.84
1.307,-2.81
1.317,-2.44
1.327,-0.84
1.337,0.81
1.337,1.5
1.347,1.25
1.357,0.91
1.357,1.06
1.367,1.59
1.377,1.84
1.387,1.66
1.397,1.19
1.407,0.69
1.407,0.31
1.417,0.37
1.427,0.75
1.437,1.12
1.447,1.06
1.457,0.59
1.457,0.16
1.467,0.44
1.477,1.37
1.487,2.25
1.497,2.28
1.497,1.66
1.507,1.44
1.517,2.41
1.527,3.81
1.527,4.47
1.552,4.09
1.553,3.16
1.563,2.5
1.563,2.22
1.573,1.84
1.583,1.0
1.593,0.31
1.603,0.44
1.603,0.94
1.613,1.06
1.623,0.5
1.633,-0.25
1.644,-0.56
1.65,-0.19
1.655,0.66
1.663,1.34
1.666,1.34
1.676,0.44
1.686,-1.22
1.696,-2.88
1.706,-3.38
1.716,-2.47
1.726,-0.81
1.736,0.19
1.746,-0.06
1.746,-1.47
1.756,-2.63
1.766,-2.66
1.776,-1.31
1.776,0.12
1.786,0.81
