timestamp,Value
0.001,1.72
0.001,0.12
0.015,-0.91
0.017,-0.75
0.027,0.12
0.037,0.34
0.037,-0.56
0.047,-1.88
0.057,-2.5
0.067,-1.94
0.077,-0.31
0.087,1.06
0.087,1.16
0.097,0.34
0.107,-0.34
0.117,-0.63
0.127,-0.09
0.127,1.06
0.137,2.28
0.147,2.84
0.157,2.41
0.167,1.66
0.177,1.41
0.177,1.81
0.187,2.53
0.197,3.16
0.207,3.28
0.217,2.75
0.227,1.84
0.227,1.28
0.237,1.34
0.247,2.03
0.247,3.03
0.257,3.75
0.267,3.72
0.277,2.75
0.287,1.56
0.297,0.53
0.297,-0.12
0.307,-0.63
0.319,-0.94
0.33,-0.88
0.338,-0.78
0.338,-0.78
0.348,-0.63
0.358,0.25
0.368,1.84
0.378,2.88
0.378,1.91
0.388,-0.53
0.398,-2.72
0.408,-3.0
0.408,-1.34
0.418,0.22
0.428,0.06
0.438,-1.41
0.448,-2.5
0.458,-1.88
0.458,0.53
0.468,2.75
0.478,2.97
0.488,1.31
0.498,-0.69
0.498,-1.44
0.508,-0.81
0.518,0.63
0.528,2.28
0.54,3.06
0.544,2.34
0.554,0.66
0.564,-0.5
0.564,-0.16
0.574,1.19
0.584,2.5
0.594,3.0
0.604,2.19
0.604,0.66
0.614,-0.72
0.624,-1.12
0.634,-0.53
0.634,0.37
0.644,0.72
0.654,-0.31
0.664,-1.75
0.674,-2.25
0.674,-0.59
0.684,2.56
0.694,5.41
0.704,6.13
0.714,4.34
0.724,1.5
0.724,-0.72
0.734,-1.47
0.744,-1.19
0.754,-0.97
0.754,-0.81
0.764,-0.41
0.774,0.59
0.784,1.75
0.784,2.44
0.794,2.06
0.804,0.53
0.814,-0.88
0.824,-1.25
0.834,-0.59
0.834,0.22
0.845,-0.06
0.856,-1.47
0.866,-3.19
0.876,-3.66
0.876,-2.22
0.886,0.0
0.896,1.19
0.906,0.81
0.916,0.12
0.916,0.03
0.926,0.94
0.936,2.41
0.946,3.81
0.946,4.75
0.966,5.06
0.966,4.59
0.976,3.41
0.986,2.31
0.986,1.91
0.996,2.56
1.006,3.34
1.016,3.16
1.026,1.97
1.026,0.5
1.036,-0.53
1.046,-1.12
1.055,-0.88
1.065,0.28
1.078,1.81
1.083,2.69
1.083,2.16
1.093,1.06
1.103,0.72
1.113,1.59
1.123,2.69
1.133,2.75
1.133,1.31
1.143,-1.03
1.153,-3.0
1.153,-3.69
1.163,-3.19
1.173,-2.91
1.183,-3.59
1.193,-3.63
1.203,-1.28
1.203,2.34
1.213,4.41
1.223,3.53
1.233,0.78
1.243,-1.28
1.253,-1.03
1.253,1.12
1.263,3.63
1.273,4.81
1.283,4.53
1.293,3.88
1.303,3.56
1.303,3.63
1.313,3.56
1.323,2.97
1.323,2.03
1.343,1.22
1.343,0.88
1.353,1.16
1.363,1.72
1.363,2.03
1.38,2.06
1.387,1.81
1.395,1.06
1.395,-0.25
1.405,-1.06
1.415,-0.47
1.425,1.22
1.435,2.94
1.435,3.88
1.445,4.16
1.455,3.91
1.465,3.03
1.475,1.19
1.485,-0.88
1.485,-2.06
1.495,-1.91
1.505,-0.91
1.515,0.16
1.515,0.72
1.535,0.94
1.535,0.94
1.545,0.28
1.555,-1.06
1.555,-2.25
1.565,-2.31
1.575,-1.72
1.585,-1.59
1.595,-2.25
1.605,-2.97
1.611,-3.16
1.611,-2.88
1.621,-2.25
1.631,-1.56
1.641,-0.53
1.651,0.69
1.661,1.19
1.661,0.06
1.671,-1.97
1.681,-3.03
1.691,-1.75
1.701,0.25
1.701,0.63
1.711,-0.75
1.721,-2.0
1.731,-1.53
1.731,0.0
1.741,0.88
1.751,0.28
1.761,-0.91
1.771,-1.44
1.771,-1.0
1.781,0.03
1.791,1.37
1.801,2.72
1.811,3.22
1.821,2.69
1.821,1.16
1.831,-0.22
1.841,-0.37
1.851,0.19
1.861,0.31
1.861,-0.53
1.871,-1.06
1.881,-0.69
1.891,-0.28
1.903,-0.41
1.911,-0.19
1.912,0.78
1.922,1.97
1.932,2.66
1.932,2.53
1.942,1.72
1.952,1.22
1.962,1.37
1.97,1.66
1.979,1.72
1.989,1.22
1.989,0.37
1.999,-0.59
2.009,-1.16
2.019,-0.97
2.029,0.09
2.029,1.78
2.039,2.69
2.049,2.41
2.059,1.22
2.069,0.06
2.079,-0.12
2.079,0.66
2.089,2.19
2.099,3.84
2.109,5.22
2.109,5.72
2.119,5.06
2.129,3.22
2.141,0.84
2.145,-1.03
2.155,-1.28
2.165,0.34
2.165,2.78
2.175,3.75
2.185,2.59
2.195,-0.12
2.205,-2.56
2.205,-3.31
2.215,-2.63
2.225,-1.31
2.235,0.09
2.245,1.19
2.255,2.03
2.255,2.44
2.265,2.13
2.275,1.25
2.285,0.25
2.295,-0.22
2.295,-0.19
2.305,-0.19
2.315,-0.56
2.325,-1.53
2.325,-2.22
2.335,-1.59
2.345,0.19
2.355,2.03
2.365,2.75
2.365,2.44
2.375,1.91
2.385,1.69
2.395,1.53
2.405,1.28
2.415,1.06
