timestamp,Value
0.002,-0.44
0.002,10.09
0.012,7.59
0.022,-4.0
0.032,-8.31
0.032,0.03
0.042,9.41
0.052,6.22
0.063,-5.59
0.071,-10.03
0.081,-1.69
0.081,8.25
0.091,6.22
0.101,-5.03
0.111,-10.44
0.121,-3.63
0.131,5.94
0.131,5.47
0.141,-2.88
0.151,-6.19
0.161,0.31
0.161,7.53
0.171,4.69
0.181,-4.41
0.191,-6.88
0.201,0.59
0.201,7.94
0.211,4.06
0.221,-6.97
0.231,-11.44
0.231,-4.25
0.241,5.41
0.251,5.41
0.261,-2.88
0.271,-7.22
0.281,-2.59
0.281,4.19
0.291,3.47
0.301,-2.94
0.311,-5.22
0.321,-0.28
0.331,5.25
0.331,3.72
0.341,-2.25
0.351,-4.19
0.361,-0.22
0.361,4.09
0.371,3.56
0.381,1.22
0.391,2.28
0.391,5.09
0.411,5.03
0.411,0.41
0.426,-3.13
0.427,-1.44
0.437,2.31
0.447,3.31
0.457,1.0
0.457,-0.06
0.467,1.78
0.477,2.59
0.487,0.44
0.497,-1.06
0.507,3.06
0.507,10.09
0.517,10.63
0.527,2.91
0.537,-3.81
0.537,-1.06
0.547,6.38
0.557,6.69
0.567,-1.09
0.567,-5.84
0.587,0.88
0.591,10.81
0.601,9.69
0.611,-2.13
0.611,-10.5
0.621,-5.78
0.631,3.53
0.641,3.34
0.651,-5.59
0.651,-10.5
0.661,-4.47
0.671,3.09
0.681,0.25
0.691,-9.19
0.691,-12.03
0.701,-3.81
0.711,4.16
0.721,0.25
0.721,-9.91
0.731,-12.47
0.741,-3.53
0.751,4.72
0.761,1.44
0.761,-7.69
0.771,-9.59
0.781,-0.31
0.791,9.44
0.801,8.22
0.811,-0.69
0.811,-6.16
0.821,-2.84
0.831,1.59
0.841,-0.31
0.851,-5.16
0.861,-5.06
0.865,0.44
0.873,2.59
0.883,-2.97
0.883,-8.84
0.893,-6.75
0.903,0.91
0.913,3.31
0.913,-3.06
0.923,-8.66
0.933,-5.69
0.943,1.59
0.953,1.84
0.959,-6.25
0.969,-10.91
0.969,-5.06
0.979,4.34
0.989,4.5
0.999,-4.84
1.009,-10.09
1.019,-4.16
1.019,5.19
1.029,4.94
1.039,-3.88
1.049,-7.63
1.059,-0.81
1.059,7.91
1.069,6.41
1.079,-3.0
1.089,-6.53
1.101,0.34
1.106,7.13
1.113,2.16
1.113,-9.34
1.123,-11.13
1.133,0.37
1.143,11.28
1.153,7.41
1.163,-5.97
1.163,-10.41
1.173,-0.44
1.183,10.59
1.193,7.88
1.203,-4.34
1.213,-8.5
1.213,0.91
1.223,11.19
1.233,8.38
1.243,-2.84
1.253,-6.19
1.263,2.94
1.283,11.81
1.293,7.06
1.293,-5.88
1.293,-9.41
1.303,1.28
1.313,12.22
1.323,8.22
1.323,-6.0
1.333,-11.34
1.343,-1.09
1.369,11.53
1.369,9.72
1.385,-3.19
1.385,-8.81
1.401,0.06
1.401,11.34
1.409,9.25
1.409,-2.97
1.417,-7.72
1.428,1.47
1.437,12.16
1.46,9.38
1.46,-3.13
1.468,-7.66
1.468,1.72
