timestamp,Value
0.005,0.53
0.015,0.72
0.025,1.03
0.035,1.19
0.035,1.37
0.045,1.72
0.055,1.84
0.065,2.09
0.075,2.34
0.085,2.5
0.085,2.72
0.095,2.88
0.105,3.13
0.115,3.31
0.115,3.47
0.135,3.66
0.135,3.84
0.145,3.97
0.155,4.09
0.165,4.25
0.165,4.41
0.175,4.59
0.185,4.72
0.185,4.81
0.195,4.84
0.205,5.06
0.215,5.09
0.225,5.16
0.235,5.28
0.235,5.41
0.245,5.41
0.255,5.5
0.265,5.5
0.275,5.59
0.285,5.63
0.285,5.69
0.299,5.69
0.304,5.78
0.314,5.72
0.324,5.72
0.334,5.75
0.334,5.78
0.344,5.75
0.354,5.78
0.364,5.72
0.364,5.81
0.374,5.69
0.384,5.69
0.394,5.66
0.394,5.63
0.404,5.69
0.414,5.56
0.424,5.53
0.434,5.44
0.434,5.41
0.444,5.38
0.454,5.28
0.464,5.25
0.474,5.16
0.484,5.09
0.484,5.0
0.494,5.0
0.504,4.97
0.514,4.91
0.524,4.72
0.534,4.72
0.534,4.59
0.544,4.5
0.554,4.44
0.554,4.31
0.564,4.22
0.574,4.16
0.584,4.06
0.594,3.94
0.594,3.81
0.614,3.72
0.614,3.66
0.624,3.56
0.634,3.41
0.644,3.34
0.654,3.22
0.664,3.09
0.664,3.03
0.674,2.94
0.684,2.78
0.684,2.69
0.694,2.59
0.704,2.47
0.714,2.41
0.724,2.25
0.734,2.16
0.734,2.06
0.744,1.91
0.754,1.81
0.754,1.81
0.764,1.66
0.774,1.53
0.784,1.47
0.794,1.34
0.805,1.25
0.815,1.12
0.82,1.03
0.82,0.91
0.83,0.91
0.84,0.75
0.85,0.63
0.86,0.56
0.87,0.41
0.87,0.34
0.88,0.25
0.89,0.16
0.9,0.09
0.91,-0.06
0.91,-0.12
0.92,-0.19
0.93,-0.31
0.942,-0.41
0.95,-0.53
0.959,-0.66
0.959,-0.72
0.968,-0.81
0.976,-0.84
0.987,-0.88
0.987,-0.97
0.997,-0.94
1.007,-1.09
1.017,-1.16
1.027,-1.25
1.037,-1.34
1.037,-1.34
1.047,-1.28
1.057,-1.47
1.067,-1.44
1.077,-1.5
1.087,-1.66
1.087,-1.78
1.097,-1.78
1.107,-1.91
1.107,-2.0
1.121,-2.06
1.131,-2.06
1.131,-2.0
1.141,-2.13
1.151,-2.06
1.161,-2.19
1.171,-2.19
1.181,-2.28
1.181,-2.28
1.191,-2.38
1.201,-2.41
1.211,-2.41
1.221,-2.44
1.221,-2.44
1.231,-2.53
1.241,-2.69
1.251,-2.72
1.261,-2.72
1.261,-2.66
1.271,-2.69
1.281,-2.72
1.291,-2.66
1.291,-2.69
1.301,-2.78
1.311,-2.75
1.322,-2.81
1.33,-2.78
1.34,-2.78
1.345,-2.78
1.353,-2.81
1.361,-2.91
1.372,-2.97
1.382,-3.0
1.382,-3.06
1.392,-3.0
1.402,-3.03
1.412,-2.97
1.422,-2.94
1.432,-3.0
1.432,-2.94
1.442,-2.97
1.452,-2.97
1.462,-3.06
1.462,-3.19
1.472,-3.19
1.482,-3.28
1.492,-3.16
1.492,-3.13
1.502,-3.06
1.512,-2.97
1.522,-2.91
1.532,-3.0
1.532,-2.97
1.542,-3.09
1.552,-3.13
1.562,-3.09
1.572,-3.06
1.582,-3.03
1.582,-3.0
1.592,-3.09
1.602,-3.09
1.612,-3.03
1.622,-3.03
1.632,-3.0
1.632,-2.91
1.642,-2.91
1.652,-2.88
1.662,-2.94
1.672,-2.94
1.672,-2.91
1.682,-2.91
1.692,-2.81
1.692,-2.81
1.702,-2.88
1.712,-2.91
1.722,-2.97
1.732,-2.91
1.742,-2.84
1.742,-2.78
1.752,-2.69
1.762,-2.78
1.772,-2.84
1.782,-2.94
1.782,-2.94
1.792,-2.81
1.802,-2.66
1.812,-2.53
1.822,-2.44
1.834,-2.44
1.838,-2.5
1.843,-2.56
1.853,-2.63
1.853,-2.63
1.863,-2.63
1.873,-2.5
1.883,-2.5
1.893,-2.5
1.893,-2.5
1.903,-2.44
1.913,-2.38
1.923,-2.5
1.933,-2.5
1.933,-2.56
1.943,-2.38
1.953,-2.31
1.963,-2.25
1.973,-2.13
1.983,-2.19
1.983,-2.31
1.993,-2.19
2.003,-2.19
2.013,-2.25
2.023,-2.19
2.033,-2.25
2.033,-2.13
2.043,-2.25
2.053,-2.06
2.053,-2.06
2.063,-1.88
2.073,-2.06
2.083,-2.0
2.093,-2.13
2.093,-2.13
2.103,-2.19
2.113,-2.13
2.123,-2.06
2.133,-2.13
2.133,-2.06
2.143,-2.06
2.153,-2.06
2.163,-1.94
2.173,-1.81
2.183,-1.88
2.183,-1.81
2.193,-1.75
2.203,-1.63
2.213,-1.81
2.223,-1.81
2.233,-1.88
2.233,-1.88
2.243,-1.75
2.253,-1.75
2.253,-1.69
2.263,-1.56
2.273,-1.63
2.283,-1.63
2.293,-1.69
2.293,-1.56
2.303,-1.63
2.313,-1.63
2.323,-1.5
2.333,-1.5
2.343,-1.5
2.352,-1.5
2.362,-1.37
2.362,-1.5
2.372,-1.37
2.382,-1.44
2.392,-1.44
2.392,-1.37
2.402,-1.37
2.412,-1.37
2.422,-1.37
2.422,-1.25
2.432,-1.37
2.442,-1.25
2.452,-1.31
2.462,-1.31
2.462,-1.19
2.472,-1.31
2.482,-1.19
2.492,-1.25
2.502,-1.12
2.512,-1.19
2.512,-1.19
2.522,-1.19
2.532,-1.12
2.542,-1.12
2.552,-1.06
2.562,-1.06
2.562,-1.06
2.572,-1.0
2.582,-1.0
2.592,-1.06
2.602,-1.0
2.612,-1.0
2.612,-0.94
2.612,-1.06
2.622,-0.94
2.632,-1.0
2.642,-1.0
2.652,-0.88
2.662,-0.88
2.662,-0.88
2.672,-0.94
2.682,-0.88
2.692,-0.88
2.702,-0.81
2.712,-0.88
2.712,-0.81
2.722,-0.81
2.732,-0.81
2.742,-0.81
2.752,-0.75
2.762,-0.75
2.762,-0.75
2.772,-0.69
2.782,-0.81
2.792,-0.69
2.802,-0.75
2.802,-0.69
2.822,-0.69
2.832,-0.63
2.842,-0.63
2.842,-0.63
2.854,-0.63
2.864,-0.63
2.867,-0.56
2.876,-0.63
2.886,-0.56
2.896,-0.56
2.896,-0.69
2.906,-0.63
2.916,-0.56
2.926,-0.44
2.936,-0.5
2.946,-0.44
2.956,-0.44
2.956,-0.5
2.966,-0.63
2.976,-0.63
2.986,-0.63
2.996,-0.44
2.996,-0.37
3.006,-0.37
3.006,-0.37
3.016,-0.31
3.026,-0.44
3.036,-0.37
3.046,-0.44
3.056,-0.37
3.066,-0.31
3.066,-0.5
3.076,-0.37
3.086,-0.44
3.086,-0.56
3.096,-0.44
3.106,-0.37
3.116,-0.31
3.126,-0.31
3.136,-0.31
3.146,-0.25
3.146,-0.37
3.156,-0.37
3.166,-0.25
3.176,-0.31
3.186,-0.25
3.186,-0.25
3.196,-0.25
3.206,-0.19
3.216,-0.31
3.216,-0.25
3.226,-0.06
3.236,-0.06
3.246,-0.19
3.256,0.0
3.266,-0.12
3.266,-0.19
3.286,-0.12
3.286,-0.19
3.296,-0.19
3.306,-0.44
3.316,-2.63
3.326,-8.81
3.326,-19.44
3.336,-32.94
3.336,-46.06
3.346,-54.75
3.356,-57.94
3.366,-56.69
3.377,-53.31
3.389,-50.06
3.397,-47.88
3.397,-46.81
3.399,-46.06
3.409,-44.5
3.419,-41.44
3.429,-37.56
3.439,-33.31
3.449,-29.5
3.459,-26.62
3.459,-24.19
3.469,-21.81
3.479,-19.12
3.489,-15.94
3.499,-12.56
3.509,-8.69
3.509,-4.81
3.519,-1.56
3.529,0.25
3.539,0.31
3.549,-1.25
3.559,-3.63
3.559,-5.06
3.569,-4.69
3.569,-2.5
3.579,1.12
3.589,5.25
3.599,8.38
3.609,9.75
3.609,8.5
3.619,5.75
3.629,2.94
3.639,1.69
3.649,2.69
3.659,4.56
3.669,6.63
3.669,8.13
3.679,10.0
3.689,12.38
3.699,14.75
3.709,16.69
3.719,17.94
3.719,19.31
3.729,21.31
3.739,23.37
3.739,24.44
3.749,23.87
3.759,22.19
3.769,20.69
3.779,20.31
3.779,20.87
3.789,21.37
3.789,20.44
3.799,18.0
3.809,14.44
3.819,10.69
3.829,7.5
3.839,6.13
3.849,6.88
3.859,9.31
3.859,11.31
3.869,11.5
3.879,9.75
3.889,6.56
3.9,1.88
3.913,-4.19
3.922,-10.19
3.922,-14.25
3.932,-14.13
3.932,-10.0
3.942,-4.06
3.942,0.63
3.952,2.94
3.962,3.0
3.972,2.38
3.982,2.38
3.992,3.06
4.002,3.63
4.002,3.75
4.012,4.06
4.022,4.69
4.032,5.06
4.042,5.44
4.052,5.94
4.062,6.69
4.062,7.63
4.072,8.13
4.082,7.56
4.092,5.63
4.092,3.0
4.102,0.94
4.112,0.12
4.112,0.5
4.122,1.31
4.132,1.88
4.142,1.56
4.152,0.94
4.162,0.5
4.172,1.06
4.172,1.94
4.182,1.75
4.182,-0.19
4.192,-3.06
4.202,-4.75
4.212,-5.38
4.222,-6.63
4.232,-9.44
4.242,-12.75
4.252,-14.19
4.262,-13.56
4.262,-12.38
4.272,-12.25
4.282,-12.94
4.292,-12.81
4.302,-10.5
4.302,-6.69
4.312,-3.38
4.312,-2.13
4.322,-2.38
4.332,-2.63
4.342,-2.25
4.352,-2.81
4.362,-4.63
4.372,-7.19
4.382,-8.88
4.382,-8.88
4.392,-7.5
4.392,-5.63
4.402,-4.63
4.412,-4.56
4.424,-5.25
4.434,-5.75
4.443,-5.72
4.443,-5.13
4.453,-4.72
4.463,-5.25
4.473,-6.91
4.483,-8.81
4.493,-9.72
4.493,-9.69
4.503,-9.38
4.513,-8.44
4.513,-6.06
4.523,-3.03
4.533,-1.16
4.543,-1.84
4.553,-3.84
4.563,-4.5
4.563,-2.53
4.573,0.59
4.583,2.47
4.593,1.41
4.603,-1.88
4.613,-5.09
4.613,-6.25
4.623,-4.5
4.633,-0.44
4.643,3.16
4.653,3.75
4.663,0.81
4.663,-3.69
4.673,-7.5
4.673,-9.84
4.683,-11.06
4.693,-11.03
4.703,-9.44
4.713,-7.06
4.723,-5.66
4.723,-6.44
4.733,-8.53
4.743,-10.09
4.753,-9.69
4.763,-7.66
4.763,-5.56
4.773,-4.75
4.783,-5.34
4.793,-5.75
4.803,-4.72
4.813,-2.78
4.813,-1.31
4.823,-0.63
4.833,-0.09
4.843,1.06
4.853,2.38
4.863,3.41
4.873,3.94
4.873,4.16
4.883,3.97
4.883,4.06
4.893,4.81
4.903,5.84
4.913,6.66
4.923,6.19
4.933,4.22
4.944,1.22
4.954,-1.5
4.958,-2.91
4.958,-2.63
4.969,-1.53
4.979,-0.84
4.989,-1.34
4.999,-2.56
5.009,-3.13
5.009,-2.53
5.019,-1.66
5.029,-2.03
5.039,-3.63
5.049,-4.88
5.059,-4.34
5.059,-2.19
5.069,0.34
5.069,2.28
5.079,3.69
5.089,4.84
5.099,5.69
5.109,6.19
5.119,6.78
5.119,7.44
5.129,7.84
5.139,7.78
5.149,6.84
5.159,5.44
5.169,3.88
5.169,2.5
5.169,1.84
5.179,1.75
5.189,1.44
5.199,0.47
5.209,-0.81
5.219,-1.41
5.219,-0.59
5.229,1.16
5.239,2.66
5.249,3.19
5.259,2.72
5.269,2.09
5.279,1.63
5.279,1.06
5.289,-0.5
5.299,-2.53
5.309,-3.47
5.319,-2.19
5.329,1.12
5.329,5.31
5.339,8.91
5.349,11.19
5.359,11.91
5.369,11.22
5.369,9.97
5.379,8.56
5.389,7.75
5.389,7.59
5.399,7.22
5.409,5.84
5.419,3.56
5.429,1.56
5.439,0.75
5.439,1.47
5.449,3.34
5.459,6.06
5.469,8.53
5.48,8.66
5.49,5.78
5.491,1.63
5.491,-1.09
5.501,-1.06
5.511,0.69
5.521,2.31
5.531,3.13
5.541,3.53
5.541,3.56
5.551,3.34
5.561,3.03
5.571,3.16
5.581,4.03
5.591,5.28
5.591,6.25
5.601,6.22
5.611,5.41
5.621,4.75
5.621,4.97
5.641,5.88
5.641,6.72
5.651,7.03
5.661,6.44
5.671,5.63
5.671,5.16
5.681,5.41
5.691,6.09
5.691,6.09
5.701,5.56
5.711,4.63
5.721,4.03
5.731,3.84
5.741,3.63
5.751,2.56
5.761,0.97
5.761,-0.5
5.771,-0.88
5.781,-0.03
5.791,1.75
5.801,4.06
5.811,5.97
5.811,7.03
5.821,7.59
5.821,8.97
5.831,11.22
5.841,12.5
5.851,11.03
5.861,7.66
5.871,4.31
5.871,2.25
5.881,1.63
5.891,1.72
5.901,1.66
5.911,0.53
5.911,-0.88
5.921,-1.97
5.931,-1.91
5.941,-0.88
5.941,0.12
5.951,0.41
5.961,0.16
5.971,0.53
5.981,2.0
5.991,3.91
5.991,4.66
6.001,3.72
6.012,2.31
6.012,1.72
6.021,1.78
6.036,1.53
6.046,1.47
6.046,2.34
6.056,4.16
6.066,5.78
6.076,6.72
6.086,7.31
6.096,8.38
6.106,9.88
6.106,10.97
6.116,10.59
6.126,8.75
6.136,6.19
6.146,4.0
6.156,2.41
6.156,1.28
6.166,0.28
6.166,-0.63
6.176,-1.16
6.176,-1.41
6.196,-0.78
6.206,0.81
6.216,3.13
6.216,5.0
6.226,5.56
6.236,5.0
6.236,4.13
6.246,2.78
6.256,0.78
6.266,-0.72
6.276,-0.44
6.286,1.81
6.296,4.31
6.296,5.5
6.306,5.0
6.316,3.91
6.326,3.63
6.336,4.25
6.346,5.09
6.346,5.81
6.356,6.63
6.366,7.31
6.366,6.97
6.376,5.88
6.386,4.88
6.396,4.19
6.406,3.06
6.416,1.41
6.416,0.12
6.426,-0.25
6.436,-0.16
6.436,-0.28
6.446,-0.22
6.456,0.75
6.466,2.13
6.476,3.03
6.486,2.69
6.486,1.78
6.496,1.28
6.506,1.75
6.516,2.88
6.526,4.13
6.536,5.19
6.536,6.03
6.556,6.72
6.556,7.09
6.567,7.19
6.574,7.34
6.574,7.47
6.584,6.75
6.594,4.47
6.604,1.19
6.614,-1.25
6.624,-2.25
6.624,-2.28
6.634,-2.06
6.644,-1.72
6.654,-0.41
6.664,2.81
6.674,6.84
6.674,9.47
6.684,8.84
6.694,6.16
6.704,3.41
6.714,2.16
6.724,1.75
6.734,1.41
6.734,0.5
6.734,-0.75
6.744,-2.0
6.754,-2.47
6.764,-1.56
6.774,0.56
6.784,3.38
6.784,5.84
6.794,6.81
6.804,5.75
6.814,3.66
6.824,2.22
6.834,2.88
6.844,4.47
6.844,4.75
6.854,3.13
6.864,1.25
6.864,0.66
6.874,1.28
6.884,1.75
6.894,1.22
6.904,0.41
6.914,0.03
6.914,0.22
6.924,0.25
6.924,-0.34
6.934,-1.12
6.944,-1.31
6.954,-0.28
6.964,1.37
6.974,2.78
6.984,3.31
6.994,3.72
7.004,4.47
7.004,5.19
7.014,5.03
7.024,4.19
7.034,3.41
7.044,2.66
7.044,1.16
7.054,-1.06
7.064,-2.5
7.075,-2.06
7.085,-0.37
7.087,1.19
7.097,2.0
7.107,2.97
7.117,5.06
7.117,7.88
7.127,10.19
7.137,10.38
7.137,8.28
7.147,5.09
7.157,2.5
7.167,1.56
7.167,1.47
7.177,1.16
7.187,-0.19
7.197,-2.41
7.197,-4.59
7.207,-5.84
7.217,-5.47
7.227,-3.41
7.237,-0.09
7.247,3.56
7.257,6.69
7.257,8.5
7.267,8.56
7.277,7.19
7.287,5.34
7.297,4.22
7.307,3.63
7.307,2.56
7.307,0.47
7.317,-1.94
7.327,-3.53
7.337,-4.19
7.347,-3.94
7.357,-2.59
7.367,-0.12
7.367,2.97
7.377,5.5
7.387,6.69
7.397,7.22
7.407,7.53
7.417,7.47
7.427,6.06
7.437,3.19
7.437,-0.16
7.447,-2.5
7.457,-3.22
7.467,-3.03
7.467,-2.72
7.477,-2.0
7.487,-0.41
7.497,1.81
7.497,3.44
7.507,3.72
7.517,3.16
7.527,2.81
7.537,3.22
7.547,3.97
7.547,3.84
7.557,2.09
7.567,-0.34
7.577,-2.16
7.587,-2.84
7.597,-2.88
7.597,-2.94
7.597,-3.31
7.609,-3.41
7.62,-2.47
7.629,-0.16
7.639,3.13
7.649,6.28
7.649,8.22
7.659,8.59
7.669,7.16
7.679,4.06
7.689,1.19
7.689,0.44
7.699,1.88
7.709,3.56
7.719,3.41
7.729,1.0
7.729,-1.84
7.739,-3.19
7.749,-2.53
7.759,-0.69
7.769,1.56
7.779,3.56
7.789,4.75
7.789,5.13
7.799,4.97
7.809,4.97
7.819,5.0
7.819,4.63
7.829,3.59
7.839,2.13
7.849,0.37
7.849,-1.09
7.859,-1.66
7.869,-0.78
7.879,0.25
7.889,0.97
7.889,1.16
7.899,0.81
7.909,0.41
7.919,0.78
7.929,2.75
7.939,5.34
7.949,6.53
7.949,5.28
7.959,2.31
7.959,-0.84
7.969,-3.28
7.979,-4.81
7.989,-5.25
7.999,-4.06
8.009,-1.5
8.019,1.47
8.029,3.81
8.039,5.0
8.039,5.38
8.049,5.78
8.049,6.31
8.059,6.38
8.069,5.75
8.069,4.25
8.089,1.41
8.089,-2.38
8.099,-5.0
8.109,-4.84
8.119,-2.78
8.129,-0.75
8.14,0.47
8.148,1.56
8.158,3.19
8.158,4.88
8.168,6.0
8.178,5.69
8.188,4.34
8.198,2.47
8.198,1.37
8.208,1.37
8.218,1.19
8.218,-0.22
8.228,-2.53
8.238,-4.78
