timestamp,Value
0.006,2.31
0.016,-4.09
0.028,-6.53
0.037,-1.47
0.044,4.66
0.056,3.31
0.057,-3.41
0.067,-4.91
0.077,1.22
0.077,6.94
0.087,4.03
0.097,-3.53
0.107,-4.34
0.117,3.0
0.127,8.28
0.127,2.5
0.137,-8.41
0.147,-9.97
0.147,-0.09
0.157,8.59
0.172,3.63
0.183,-8.38
0.183,-10.78
0.193,0.19
0.203,10.59
0.203,6.69
0.213,-5.88
0.223,-9.5
0.233,0.41
0.243,10.69
0.253,6.94
0.253,-5.84
0.263,-9.72
0.273,0.44
0.283,11.63
0.293,9.63
0.303,-1.41
0.303,-4.78
0.313,3.78
0.323,12.06
0.333,7.5
0.333,-4.16
0.353,-6.53
0.353,3.66
0.363,13.19
0.363,8.53
0.373,-4.38
0.383,-7.97
0.393,2.22
0.403,12.88
0.403,10.41
0.418,-0.41
0.428,-3.41
0.428,5.03
0.438,12.44
0.448,6.75
0.458,-5.59
0.468,-7.94
0.478,2.94
0.478,13.06
0.488,8.94
0.498,-3.78
0.508,-7.5
0.518,2.09
0.518,11.97
0.528,8.47
0.538,-2.94
0.548,-6.0
0.548,3.19
0.558,11.72
0.568,6.56
0.578,-6.22
0.588,-9.41
0.588,1.16
0.598,11.56
0.608,7.25
0.618,-6.69
0.628,-11.5
0.628,-1.34
0.638,10.47
0.648,8.28
0.658,-4.03
0.668,-8.94
0.678,-0.22
0.678,10.19
0.695,7.72
0.7,-3.44
0.7,-6.94
0.73,1.91
0.73,10.91
0.73,7.09
0.74,-4.03
0.75,-6.56
0.75,2.78
0.76,11.16
0.77,6.16
0.78,-6.06
0.78,-8.78
0.79,1.41
0.8,11.16
0.81,7.72
0.82,-3.13
0.83,-5.53
0.83,3.22
0.84,10.5
0.85,5.44
0.859,-5.13
0.867,-6.19
0.878,3.56
0.887,10.81
0.887,5.66
0.898,-4.41
0.907,-4.78
0.917,4.66
0.927,10.59
0.927,4.13
0.937,-5.97
0.951,-5.66
0.954,4.28
0.964,10.28
0.974,3.28
0.974,-7.78
0.984,-8.19
0.994,1.66
1.004,8.31
1.014,1.97
1.024,-9.25
1.024,-10.53
1.034,-0.75
1.044,7.41
1.054,4.03
1.054,-4.31
1.064,-4.72
1.074,2.72
1.084,7.03
1.084,1.5
1.094,-5.75
1.104,-3.91
1.114,4.47
1.124,7.88
1.124,1.16
1.134,-6.44
1.154,-4.78
1.154,3.03
1.164,6.28
1.174,0.84
1.174,-4.41
1.184,-1.22
1.194,5.5
1.208,5.91
1.213,-2.19
1.223,-9.56
1.223,-7.88
1.233,-0.88
1.243,2.78
1.253,0.34
1.263,-1.16
1.273,2.84
1.273,6.47
1.283,3.72
1.293,-2.34
1.303,-1.72
1.303,6.75
1.313,11.63
1.323,6.03
1.333,-3.03
1.333,-2.66
1.353,6.72
1.353,11.19
1.363,4.13
1.383,-5.03
1.383,-2.94
1.383,7.38
1.403,10.28
1.403,0.91
1.418,-8.53
1.434,-4.44
1.458,8.38
1.468,12.28
1.468,1.78
1.468,-10.09
1.468,-8.25
1.468,3.13
1.483,7.16
1.483,-1.25
1.506,-10.19
1.506,-7.31
1.516,2.66
1.516,4.53
1.526,-4.09
1.545,-11.28
1.561,-6.66
1.578,3.53
1.578,4.91
1.578,-3.88
1.578,-10.88
1.586,-6.66
1.602,1.78
1.602,1.97
1.61,-5.91
1.618,-10.56
1.631,-4.91
1.639,2.94
1.647,1.78
1.647,-6.28
1.647,-9.97
1.663,-4.41
1.687,1.53
1.687,-1.37
1.687,-8.47
1.712,-9.06
1.712,-0.69
1.712,6.25
1.731,2.72
1.738,-5.81
1.744,-8.0
1.752,-0.88
1.756,5.31
1.766,1.94
1.766,-5.25
1.776,-5.91
1.776,2.69
1.786,11.25
1.796,11.13
1.806,4.53
1.816,-0.09
1.826,1.47
1.826,4.66
1.836,4.38
1.846,2.34
1.858,2.34
1.866,6.28
1.876,10.0
1.876,9.59
1.886,6.47
1.896,3.59
1.896,3.59
1.906,4.97
1.916,5.41
1.926,5.25
1.926,4.63
1.936,3.5
1.946,0.75
1.956,-1.97
1.966,-1.19
1.976,2.19
1.986,3.69
1.986,-0.81
1.996,-7.34
2.01,-7.59
2.013,-1.28
2.013,2.78
2.023,-3.41
2.033,-13.91
2.046,-14.97
2.055,-4.47
2.055,5.09
2.065,1.37
2.075,-10.34
2.085,-13.38
2.095,-3.59
2.105,6.25
2.105,2.84
2.115,-8.66
2.125,-11.34
2.135,-1.25
2.145,8.72
2.155,5.16
2.155,-6.38
2.165,-9.28
2.175,0.59
2.185,10.03
2.185,6.31
2.195,-4.88
2.205,-7.34
2.215,2.38
2.215,11.5
2.225,8.16
2.235,-1.5
2.245,-2.69
2.257,6.13
2.258,12.34
2.268,6.03
2.278,-5.03
2.288,-5.53
2.298,5.22
2.298,13.38
2.308,8.28
2.318,-2.22
2.328,-3.06
2.328,6.44
2.348,12.69
2.358,5.91
2.368,-5.56
2.378,-6.09
2.378,4.72
2.388,12.59
2.418,6.5
2.418,-5.78
2.428,-7.63
2.428,2.88
2.428,11.34
2.428,4.94
2.448,-9.44
2.458,-13.16
2.468,-1.63
2.468,10.66
2.468,7.66
2.478,-5.91
2.488,-11.44
2.498,-2.0
2.508,9.5
2.518,7.09
2.528,-5.59
2.548,-10.56
2.548,-1.12
2.604,10.38
2.604,8.94
2.612,-1.91
2.612,-5.84
2.612,2.41
2.612,11.16
2.612,7.78
2.612,-2.78
2.612,-4.78
2.632,4.34
2.632,12.25
2.632,6.88
2.64,-5.16
2.648,-7.34
2.658,3.03
2.668,12.44
2.678,8.13
2.688,-3.5
2.698,-6.19
2.698,3.06
2.718,11.44
2.718,7.19
2.728,-3.16
2.738,-4.53
2.748,4.63
2.748,11.47
2.76,5.44
2.771,-5.81
2.775,-6.78
2.785,3.56
2.785,11.41
2.795,5.84
2.805,-5.63
2.815,-7.09
2.825,2.84
2.825,10.44
2.835,4.72
2.845,-7.13
2.845,-8.78
2.855,1.44
2.865,9.88
2.875,4.97
2.875,-6.44
2.885,-8.28
2.895,1.25
2.905,9.16
2.905,3.97
2.915,-7.28
2.925,-8.91
2.935,1.16
2.945,9.47
2.955,4.66
2.955,-6.41
2.965,-8.03
2.985,1.47
2.985,9.22
2.995,5.06
3.005,-3.97
3.015,-4.19
3.025,4.53
3.025,9.5
3.035,2.84
3.045,-7.16
3.055,-6.59
3.055,3.22
3.068,9.31
3.072,3.16
3.082,-6.97
3.092,-7.56
3.102,1.16
3.102,7.41
3.112,3.38
3.122,-3.47
3.132,-2.44
3.142,4.5
3.142,6.88
3.152,-0.12
3.162,-8.22
3.172,-7.0
3.172,1.12
3.182,5.47
3.192,0.28
3.202,-7.91
3.202,-8.94
3.212,-2.94
3.222,2.13
3.232,0.25
3.242,-4.63
3.252,-5.56
3.252,-2.53
3.262,-0.41
3.272,-3.16
3.283,-8.75
3.29,-11.66
3.296,-9.53
3.306,-4.38
3.316,-1.09
3.326,-2.13
3.326,-6.34
3.336,-9.78
3.346,-8.19
3.356,-3.0
3.366,1.03
3.366,-0.06
3.376,-4.78
3.386,-6.69
3.396,-2.84
3.396,1.84
3.406,-0.31
3.416,-8.22
3.426,-11.13
3.436,-3.19
3.436,7.72
3.446,7.56
3.456,-4.59
3.466,-12.94
3.476,-6.31
3.476,7.06
3.486,8.75
3.496,-4.34
3.506,-13.94
3.516,-5.97
3.526,10.63
3.536,13.25
3.536,-2.41
3.556,-15.38
3.556,-8.75
3.566,8.09
3.576,10.78
3.586,-5.13
3.586,-16.97
3.6,-7.81
3.603,11.38
3.603,14.81
3.613,-2.06
3.623,-15.63
3.633,-7.5
3.643,11.66
3.653,15.63
3.653,-0.63
3.663,-14.09
3.673,-6.31
3.683,12.31
3.683,16.09
3.703,-0.25
3.703,-13.63
3.713,-5.75
3.723,12.91
3.733,16.62
3.733,0.12
3.743,-13.34
3.753,-5.53
3.753,13.13
3.763,16.91
3.773,0.5
3.783,-13.03
3.793,-5.28
3.804,13.34
3.812,17.06
3.818,0.88
3.828,-12.47
3.828,-4.91
3.838,13.94
3.848,20.16
3.858,8.84
3.868,-1.41
3.878,3.22
3.878,15.16
3.888,19.03
3.898,14.28
3.908,12.22
3.918,16.06
3.928,18.16
3.928,13.44
3.938,9.81
3.938,14.94
3.948,22.66
3.958,22.66
3.968,15.44
3.978,13.06
3.988,19.66
3.988,24.34
3.998,18.56
4.008,9.53
4.018,10.91
4.028,21.87
4.028,25.47
4.038,13.63
4.048,-0.69
4.058,1.41
4.068,17.41
4.078,24.62
