timestamp,Value
0.0,-17.87
0.01,-17.62
0.01,-14.13
0.02,-11.59
0.03,-14.16
0.04,-21.75
0.04,-30.34
0.051,-34.34
0.062,-31.37
0.072,-22.56
0.074,-12.28
0.084,-5.47
0.094,-4.72
0.104,-8.31
0.104,-13.06
0.114,-18.06
0.124,-23.66
0.134,-28.84
0.144,-31.16
0.144,-28.91
0.154,-22.91
0.164,-15.75
0.174,-9.78
0.184,-6.28
0.194,-4.59
0.194,-3.13
0.204,-0.28
0.214,3.44
0.224,6.97
0.234,9.53
0.234,10.44
0.244,10.22
0.254,9.78
0.254,9.59
0.264,9.25
0.274,7.78
0.284,5.47
0.294,2.97
0.304,0.12
0.304,-2.94
0.314,-5.97
0.323,-8.47
0.334,-11.28
0.343,-15.5
0.354,-20.97
0.354,-25.97
0.364,-28.56
0.373,-28.25
0.384,-25.94
0.393,-23.0
0.393,-20.22
0.403,-17.66
0.414,-14.22
0.423,-9.84
0.433,-5.91
0.433,-3.22
0.443,-0.06
0.453,5.56
0.463,14.06
0.463,23.19
0.473,30.31
0.483,34.53
0.493,36.69
0.503,37.34
0.503,36.72
0.513,34.63
0.523,31.28
0.533,27.19
0.543,23.0
0.553,18.91
0.553,15.53
0.563,13.13
0.573,11.19
0.585,9.38
0.585,7.72
0.601,5.59
0.608,2.0
0.608,-2.5
0.618,-6.66
0.628,-9.69
0.638,-11.66
0.648,-13.13
0.648,-14.94
0.658,-17.31
0.668,-19.25
0.678,-19.53
0.688,-17.31
0.688,-13.09
0.698,-7.63
0.708,-1.84
0.718,3.44
0.728,6.53
0.738,7.03
0.738,7.19
0.748,10.13
0.758,15.66
0.768,20.06
0.778,20.56
0.778,17.78
0.788,14.06
0.798,11.53
0.808,10.56
0.818,10.75
0.818,10.97
0.828,9.63
0.838,6.34
0.848,2.34
0.858,-1.03
0.858,-3.41
0.868,-5.28
0.878,-7.5
0.888,-10.78
0.898,-14.44
0.898,-16.72
0.908,-17.31
0.918,-16.53
0.928,-15.09
0.938,-13.91
0.938,-13.56
0.948,-13.72
0.958,-13.63
0.968,-13.28
0.978,-12.31
0.988,-10.22
0.988,-7.47
0.998,-5.19
1.008,-3.41
1.008,-1.06
1.018,2.38
1.028,6.34
1.038,9.88
1.048,12.44
1.058,14.06
1.058,14.53
1.068,13.25
1.078,10.13
1.088,6.16
1.098,3.38
1.109,3.66
1.109,7.72
1.119,13.81
1.129,18.5
1.139,19.75
1.139,18.19
1.149,15.34
1.159,12.66
1.169,10.66
1.179,8.84
1.179,6.41
1.189,3.25
1.199,0.53
1.209,-0.06
1.209,1.16
1.219,1.78
1.229,0.44
1.239,-2.38
1.249,-5.28
1.259,-7.91
1.259,-10.25
1.269,-11.84
1.279,-12.22
1.289,-12.0
1.299,-11.81
1.299,-11.91
1.309,-11.75
1.319,-11.03
1.329,-9.56
1.339,-7.84
1.339,-6.41
1.359,-5.53
1.359,-4.69
1.369,-3.34
1.369,-2.19
1.379,-1.94
1.389,-1.75
1.399,0.41
1.409,4.94
1.409,9.63
1.419,11.13
1.429,8.0
1.439,2.97
1.449,0.19
1.459,1.88
1.459,6.5
1.469,10.44
1.479,11.03
1.489,8.66
1.499,5.75
1.509,4.38
1.509,4.44
1.519,4.53
1.529,3.19
1.539,0.88
1.549,-1.25
1.549,-2.06
1.559,-1.34
1.569,-0.06
1.569,0.75
1.579,0.59
1.589,-0.75
1.599,-2.22
1.609,-3.09
1.619,-3.09
1.619,-3.53
1.629,-5.59
1.64,-8.47
1.649,-9.78
1.66,-8.41
1.66,-4.97
1.67,-1.0
1.68,2.31
1.69,3.78
1.7,3.72
1.7,3.34
1.71,3.72
1.72,4.78
1.73,6.06
1.73,6.78
1.74,6.31
1.75,4.91
1.76,3.41
1.76,2.47
1.77,2.16
1.78,2.66
1.79,3.91
1.8,5.59
1.81,7.06
1.81,7.16
1.82,5.88
1.83,3.63
1.84,1.34
1.85,0.56
1.86,1.72
1.86,3.88
1.87,4.97
1.88,4.0
1.89,1.41
1.89,-0.94
1.9,-1.94
1.91,-1.53
1.92,-0.81
1.93,-0.75
1.94,-0.97
1.95,-1.12
1.96,-1.03
1.96,-1.0
1.97,-1.06
1.97,-0.78
1.98,0.09
1.99,1.12
2.0,1.59
2.01,1.28
2.01,0.72
2.02,0.28
2.03,0.28
2.04,0.97
2.05,1.94
2.06,3.25
2.06,4.47
2.07,5.5
2.08,5.78
2.08,4.94
2.09,2.94
2.1,0.28
2.11,-1.94
2.12,-2.34
2.13,-0.72
2.13,1.81
2.14,2.88
2.15,1.78
