timestamp,Value
1.001,5.97
1.009,22.28
1.017,50.63
1.025,70.91
1.033,54.22
1.041,-3.69
1.049,-69.47
1.057,-98.84
1.065,-74.34
1.073,-17.59
1.081,31.56
1.089,46.81
1.097,30.12
1.113,2.81
1.113,-14.56
1.129,-14.0
1.137,-0.69
1.145,13.28
1.153,18.87
1.161,15.22
1.169,7.28
1.169,0.91
1.185,-1.19
1.185,0.16
1.193,2.03
1.201,2.59
1.211,2.22
1.218,2.34
1.225,3.44
1.233,4.5
1.241,4.5
1.249,3.59
1.257,1.81
1.266,-2.13
1.274,-9.25
1.282,-17.34
1.29,-22.59
1.298,-22.12
1.314,-16.69
1.322,-9.66
1.33,-5.19
1.33,-4.19
1.346,-4.5
1.354,-3.75
1.354,-2.13
1.362,-0.88
1.37,0.12
1.378,1.75
1.386,3.28
1.394,3.06
1.402,0.78
1.41,-1.78
1.418,-2.88
1.426,-2.16
1.434,-0.25
1.442,1.53
1.45,1.84
1.458,0.28
1.466,-1.66
1.474,-2.56
1.482,-2.06
1.498,-0.28
1.506,3.28
1.514,7.56
1.522,10.22
1.53,9.88
1.538,7.41
1.538,5.44
1.554,5.16
1.562,5.44
1.562,4.31
1.57,1.37
1.578,-2.56
1.586,-5.75
1.594,-6.78
1.61,-5.72
1.618,-3.91
1.618,-2.81
1.626,-2.41
1.634,-2.06
1.65,-1.63
1.658,-1.34
1.658,-0.94
1.674,4.06
1.682,20.87
1.69,48.81
1.698,68.09
1.706,51.69
1.714,-4.63
1.722,-68.91
1.722,-98.66
1.731,-76.41
1.741,-22.53
1.748,25.28
1.756,41.78
1.764,28.22
1.772,4.41
1.78,-9.19
1.788,-5.25
1.796,8.97
1.804,20.94
1.812,23.09
1.82,17.0
1.828,8.97
1.836,4.16
1.844,3.66
1.852,5.69
1.86,8.0
1.868,9.09
1.876,8.25
1.884,6.72
1.892,6.0
1.9,6.53
1.916,6.16
1.916,2.31
1.932,-4.81
1.932,-11.44
1.948,-14.69
1.948,-14.78
1.956,-14.25
1.964,-14.88
1.972,-16.5
1.98,-16.84
1.988,-14.44
1.996,-9.94
2.004,-5.38
2.012,-2.16
2.02,-1.19
2.028,-2.88
2.044,-5.69
2.044,-7.22
2.052,-5.41
2.06,-1.12
2.068,2.22
2.084,1.53
2.084,-1.53
2.1,-2.72
2.1,-0.06
2.108,4.38
2.116,7.22
2.124,6.84
2.132,4.59
2.14,3.47
2.148,5.78
2.156,10.63
2.164,13.84
2.172,12.72
2.18,8.44
2.188,4.75
2.196,3.78
2.204,5.59
2.212,9.16
2.22,11.91
2.236,10.94
2.236,5.69
2.244,-1.19
2.26,-5.25
2.262,-5.09
2.275,-3.13
2.283,-1.84
2.291,-1.03
2.291,1.5
2.307,5.97
2.315,9.47
2.315,9.66
2.323,8.84
2.331,15.16
2.339,34.41
2.347,56.03
2.363,54.56
2.363,14.53
2.371,-45.84
2.387,-86.22
2.387,-79.44
2.403,-33.91
2.411,16.66
2.419,41.56
2.427,33.94
2.435,9.13
2.443,-11.44
2.451,-15.97
2.459,-6.56
2.467,6.75
2.475,15.03
2.483,14.72
2.491,9.38
2.499,4.47
2.507,3.31
2.515,5.16
2.515,6.78
2.523,6.03
2.531,4.0
2.539,3.47
2.547,5.56
2.555,8.03
2.571,8.16
2.579,4.66
2.587,-1.81
2.595,-8.97
2.603,-15.09
2.611,-20.03
2.619,-23.59
2.627,-24.97
2.635,-23.62
2.643,-18.97
2.651,-12.09
2.659,-5.81
2.659,-2.66
2.667,-3.06
2.675,-4.91
2.691,-6.09
2.691,-5.31
2.699,-2.47
2.707,0.41
2.715,1.19
2.723,-0.28
2.731,-1.03
2.739,0.69
2.755,3.94
2.763,6.22
2.771,6.31
2.78,4.69
2.788,2.56
2.795,0.97
2.803,0.53
2.811,1.59
2.819,4.13
2.827,7.84
2.835,10.81
2.843,10.72
2.851,7.25
2.851,2.97
2.867,1.22
2.867,2.69
2.875,4.47
2.883,3.94
2.891,1.41
2.899,-1.28
2.907,-2.31
2.923,-1.91
2.931,-0.5
2.939,0.84
2.947,1.34
2.955,0.88
2.963,0.34
2.971,0.5
2.979,1.47
2.987,5.81
2.995,20.75
3.003,47.09
3.011,65.62
3.019,48.31
3.027,-7.47
3.035,-67.87
3.043,-91.41
3.051,-64.94
3.059,-11.0
3.075,33.03
3.083,43.75
3.091,24.66
3.091,-2.03
3.099,-15.78
3.107,-11.03
3.115,3.44
3.123,14.84
3.131,16.62
3.139,10.84
3.147,4.03
3.155,1.5
3.163,3.78
3.171,7.78
3.179,9.97
3.187,9.53
3.195,7.25
3.203,4.88
3.211,3.72
3.219,3.53
3.227,2.69
3.235,-0.56
3.243,-7.47
3.251,-17.25
3.259,-27.31
3.267,-33.47
3.275,-32.09
3.283,-22.81
3.291,-10.19
3.307,-0.94
3.32,0.81
3.32,-2.97
3.322,-7.31
3.33,-8.59
3.338,-5.81
3.346,-0.41
3.354,4.53
3.362,6.06
3.37,4.53
3.378,2.47
3.386,2.09
3.394,3.16
3.402,3.94
3.41,4.16
3.418,4.63
3.426,6.5
3.434,9.75
3.442,13.41
3.466,14.44
3.466,10.78
3.466,4.22
3.474,-1.47
3.482,-3.56
3.49,-1.69
3.498,3.03
3.506,8.06
3.514,11.38
3.522,12.44
3.53,11.19
3.538,8.16
3.546,4.81
3.554,2.28
3.562,0.37
3.57,-0.94
3.578,-1.5
3.586,-1.12
3.594,-0.53
3.602,0.37
3.61,1.84
3.618,3.34
3.626,3.72
3.634,2.59
3.642,2.28
3.65,9.84
3.658,30.19
3.666,52.66
3.674,50.22
3.682,8.25
3.69,-52.22
3.698,-89.97
3.706,-80.19
3.714,-33.44
3.722,16.12
3.73,39.31
3.738,30.94
3.746,6.94
3.754,-12.22
3.762,-15.75
3.77,-6.34
3.778,6.41
3.794,14.28
3.794,14.09
3.802,7.59
3.81,0.31
3.818,-2.88
3.827,-0.63
3.835,4.16
3.84,7.34
3.85,6.56
3.858,3.09
3.866,-0.03
3.874,-1.44
3.882,-1.91
3.89,-2.72
3.898,-4.56
3.906,-7.63
3.914,-11.78
3.922,-16.41
3.93,-19.97
3.938,-19.87
3.946,-15.47
3.954,-9.56
3.962,-5.78
3.97,-4.84
3.978,-4.72
3.986,-3.34
3.994,-1.06
4.002,0.41
4.01,0.12
4.018,-0.94
4.026,-1.44
4.034,-0.81
4.042,0.69
4.05,2.31
4.058,3.44
4.066,3.81
4.074,4.09
4.082,4.53
4.09,4.72
4.098,4.94
4.106,4.88
4.114,4.28
4.13,3.44
4.138,3.66
4.146,5.34
4.154,7.09
4.154,7.03
4.162,4.34
4.17,0.5
4.186,-1.34
4.194,0.56
4.202,4.94
4.202,8.06
4.21,7.0
4.218,2.81
4.226,-1.09
4.242,-2.28
4.242,-0.59
4.25,2.5
4.258,4.94
4.266,5.09
4.274,2.53
4.282,-1.5
4.29,-4.34
4.298,-3.19
4.306,3.75
4.314,17.97
4.322,40.75
4.33,64.66
4.338,68.47
4.346,33.28
4.354,-29.44
4.365,-80.25
4.373,-85.56
4.418,-45.81
4.426,8.28
4.426,41.91
4.426,40.97
4.426,16.66
4.426,-8.16
4.426,-17.34
4.434,-9.28
4.442,6.0
4.45,16.12
4.458,14.75
4.466,5.63
4.474,-2.09
4.482,-3.03
4.49,1.59
4.498,7.5
4.506,11.16
4.514,11.31
4.522,8.38
4.53,4.19
4.538,0.84
4.546,-1.41
4.554,-3.66
4.562,-6.47
4.57,-9.34
4.578,-11.75
4.586,-14.03
4.594,-16.62
4.602,-18.97
4.61,-19.97
4.618,-18.12
4.626,-13.16
4.634,-6.53
4.642,-1.12
4.65,1.91
4.658,2.47
4.668,1.47
4.675,-0.91
4.683,-3.81
4.691,-6.28
4.699,-7.34
4.707,-6.78
4.715,-4.53
4.723,-1.53
4.731,1.37
4.739,3.81
4.747,5.5
4.755,6.13
4.763,5.5
4.771,3.94
4.779,2.03
4.787,0.5
4.795,0.12
4.803,1.25
4.811,3.63
4.819,6.25
4.827,7.47
4.835,6.34
4.843,3.06
4.851,-0.28
4.859,-0.75
4.867,2.63
4.875,6.53
4.884,6.0
4.895,0.03
4.903,-7.53
4.911,-11.28
4.911,-9.13
4.919,-4.19
4.935,-1.16
4.943,-1.72
4.951,-4.22
4.951,-6.13
4.967,-6.0
4.975,-4.09
4.983,0.28
4.991,11.5
4.999,33.66
5.007,58.78
5.015,62.44
5.023,25.44
5.031,-39.13
5.039,-90.69
5.047,-95.34
5.055,-53.56
