timestamp,Value
0.003,12.31
0.003,2.91
0.013,-4.0
0.023,1.56
0.033,11.47
0.043,10.03
0.043,-2.66
0.053,-10.16
0.063,-2.72
0.073,9.97
0.083,10.91
0.083,-0.28
0.093,-7.09
0.103,-0.25
0.113,10.47
0.123,9.5
0.133,-2.19
0.133,-8.44
0.143,-1.12
0.153,9.63
0.153,8.75
0.163,-2.28
0.173,-8.41
0.183,-2.38
0.193,6.94
0.203,7.0
0.203,-0.72
0.218,-4.84
0.221,-2.09
0.231,-0.09
0.241,-5.25
0.251,-11.53
0.261,-9.47
0.261,-1.37
0.271,2.69
0.281,-1.41
0.291,-6.34
0.291,-4.44
0.311,0.19
0.311,-0.88
0.321,-7.81
0.331,-11.47
0.341,-6.56
0.341,-0.47
0.351,-2.31
0.361,-9.28
0.361,-10.19
0.381,-1.69
0.381,5.19
0.391,1.47
0.401,-7.22
0.411,-7.72
0.411,1.44
0.421,6.84
0.431,0.28
0.441,-9.66
0.451,-9.03
0.461,2.16
0.461,8.72
0.471,2.88
0.481,-5.91
0.491,-4.16
0.501,6.41
0.511,10.47
0.511,2.03
0.521,-7.16
0.531,-3.91
0.531,8.09
0.541,12.22
0.551,2.88
0.561,-6.97
0.561,-4.09
0.581,7.69
0.581,11.38
0.591,2.22
0.601,-6.66
0.611,-3.03
0.611,8.09
0.621,10.66
0.631,1.12
0.641,-6.88
0.651,-2.25
0.661,8.88
0.661,10.72
0.671,1.16
0.681,-5.78
0.691,-0.06
0.701,10.5
0.711,10.16
0.711,-1.72
0.722,-9.56
0.73,-3.84
0.732,7.03
0.742,7.69
0.752,-1.88
0.762,-7.31
0.762,-1.28
0.772,7.13
0.782,4.69
0.792,-6.19
0.802,-11.13
0.812,-4.19
0.822,4.88
0.832,4.16
0.832,-3.66
0.842,-6.84
0.852,-2.41
0.852,1.53
0.862,-1.41
0.882,-6.09
0.882,-4.63
0.892,0.59
0.902,1.69
0.912,-2.91
0.912,-5.31
0.922,-0.41
0.932,4.88
0.932,1.81
0.942,-7.06
0.952,-9.88
0.962,-1.88
0.972,6.34
0.982,3.78
0.982,-5.78
0.992,-8.94
1.002,-1.19
1.012,5.25
1.012,0.69
1.032,-8.5
1.032,-7.78
1.042,4.22
1.052,12.66
1.062,7.69
1.062,-2.0
1.072,-1.75
1.082,8.88
1.092,14.84
1.092,7.91
1.102,-1.75
1.112,-0.47
1.122,10.09
1.132,14.5
1.132,6.06
1.142,-3.84
1.152,-1.5
1.162,9.84
1.172,13.78
1.182,4.44
1.182,-5.5
1.192,-2.78
1.202,8.94
1.212,13.13
1.222,4.81
1.232,-3.16
1.236,0.94
1.241,11.56
1.251,12.59
1.261,1.37
