timestamp,Value
0.009,1.78
0.019,-4.38
0.029,-9.81
0.039,-13.34
0.039,-15.81
0.049,-18.69
0.059,-22.81
0.069,-26.72
0.079,-28.47
0.079,-27.12
0.089,-23.41
0.099,-18.94
0.109,-15.09
0.119,-12.56
0.119,-11.0
0.129,-9.16
0.139,-6.19
0.149,-1.75
0.159,3.66
0.159,8.88
0.169,11.75
0.179,10.47
0.189,5.44
0.199,-1.37
0.199,-7.44
0.209,-10.69
0.219,-10.06
0.229,-6.44
0.239,-2.16
0.239,0.66
0.249,2.09
0.259,3.34
0.269,4.44
0.279,3.97
0.289,0.91
0.289,-3.09
0.299,-5.72
0.309,-6.03
0.319,-4.75
0.319,-3.22
0.329,-2.56
0.339,-2.69
0.349,-3.34
0.359,-4.41
0.359,-5.06
0.369,-4.41
0.379,-2.5
0.389,-0.63
0.4,-0.06
0.4,-1.19
0.411,-3.28
0.421,-5.5
0.431,-7.69
0.431,-10.5
0.441,-13.56
0.451,-16.12
0.461,-17.22
0.471,-16.75
0.471,-16.62
0.481,-19.5
0.491,-27.12
0.501,-39.63
0.511,-54.28
0.511,-66.06
0.521,-70.12
0.531,-65.0
0.541,-54.06
0.551,-43.06
0.551,-36.19
0.561,-33.81
0.571,-33.69
0.581,-32.69
0.591,-29.44
0.591,-24.87
0.601,-19.12
0.611,-6.56
0.621,27.5
0.631,90.22
0.641,161.0
0.641,202.59
0.651,194.03
0.661,149.16
0.671,101.62
0.671,77.75
0.681,80.59
0.691,94.94
0.701,102.84
0.711,96.69
0.711,80.94
0.721,65.12
0.731,53.28
0.741,38.06
0.751,7.66
0.761,-37.03
0.761,-75.87
0.771,-85.31
0.781,-57.84
0.791,-8.16
0.801,38.84
0.801,64.97
0.811,67.16
0.821,55.16
0.831,40.22
0.841,27.09
0.841,12.81
0.851,-7.56
0.861,-35.16
0.871,-63.69
0.871,-84.0
0.881,-90.84
0.891,-85.78
0.901,-73.97
0.911,-60.25
0.911,-47.56
0.924,-36.78
0.938,-27.62
0.943,-19.53
0.949,-12.78
0.959,-8.69
0.969,-8.94
0.969,-14.13
0.979,-23.41
0.989,-34.91
0.999,-46.53
1.009,-56.31
1.009,-62.31
1.019,-62.56
1.029,-56.06
1.039,-44.31
1.039,-30.91
1.049,-19.44
1.059,-11.22
1.069,-4.94
1.079,1.22
1.089,7.56
1.089,12.34
1.099,13.84
1.109,11.56
1.119,7.41
1.119,4.56
1.129,6.06
1.139,13.22
1.149,25.19
1.159,39.53
1.169,51.97
1.169,56.91
1.179,50.16
1.189,32.09
1.199,9.22
1.209,-9.13
1.209,-15.44
1.219,-8.25
1.229,7.13
1.239,22.28
1.239,31.09
1.249,32.72
1.259,30.19
1.269,24.81
1.279,14.72
1.289,-2.59
1.289,-24.97
1.299,-44.34
1.309,-52.59
1.319,-45.78
1.329,-23.91
1.339,9.41
1.339,45.59
1.349,72.28
1.359,80.06
1.369,70.22
1.369,53.31
1.379,39.81
1.389,31.19
1.399,21.22
1.409,5.13
1.409,-15.13
1.419,-32.13
1.429,-39.56
1.439,-37.56
1.439,-31.16
1.452,-26.56
1.463,-26.37
1.468,-29.53
1.478,-32.56
1.488,-32.03
1.488,-26.91
1.498,-18.66
1.508,-9.84
1.518,-4.66
1.528,-7.5
1.538,-18.03
1.538,-28.87
1.548,-32.56
1.558,-27.69
1.568,-20.06
1.578,-16.72
1.588,-20.16
1.588,-26.5
1.598,-29.47
1.608,-25.81
1.608,-17.19
1.618,-8.16
1.628,-2.06
1.638,1.12
1.648,3.66
1.658,7.38
1.658,12.72
1.668,18.47
1.678,22.62
1.688,23.37
1.688,20.59
1.698,15.72
1.708,11.66
1.718,9.97
1.728,10.38
1.738,10.31
1.738,8.0
1.748,3.78
1.758,-0.44
1.768,-3.19
1.768,-4.47
1.778,-4.22
1.788,-1.56
1.798,4.22
1.808,12.41
1.808,20.75
1.818,27.37
1.828,31.28
1.838,32.25
1.848,31.66
1.858,31.56
1.858,32.28
1.868,32.41
1.878,29.72
1.888,23.5
1.888,15.38
1.908,8.34
1.908,4.75
1.918,4.84
1.928,6.25
1.938,6.19
1.938,3.22
1.948,-1.84
1.958,-6.97
1.958,-9.91
1.977,-9.63
1.984,-7.16
1.984,-4.31
1.994,-2.91
2.004,-3.31
2.014,-4.84
2.024,-6.0
2.034,-4.94
2.034,-1.44
2.044,2.94
2.054,6.56
2.064,8.53
2.074,8.97
2.084,7.97
2.084,5.5
2.094,1.66
2.104,-2.53
2.114,-5.5
2.114,-5.91
2.124,-3.72
2.134,0.84
2.144,6.56
2.144,11.59
2.154,14.0
2.164,13.97
2.174,12.78
2.184,11.75
2.184,10.69
2.194,9.38
2.204,7.28
2.214,4.47
2.224,1.59
2.234,-0.03
2.234,-0.56
2.244,-0.94
2.254,-2.31
2.264,-5.13
2.274,-9.22
2.284,-13.03
2.284,-14.78
2.294,-14.09
2.304,-12.56
2.314,-12.22
2.324,-13.72
2.334,-15.47
2.334,-15.13
2.344,-11.81
2.354,-6.38
2.354,-0.69
2.364,3.78
2.374,6.47
2.384,7.66
2.394,8.97
2.394,11.91
2.404,18.31
2.414,29.5
2.424,43.69
2.434,54.28
2.434,54.59
2.444,43.63
2.454,26.44
2.464,10.84
2.474,3.75
2.486,7.69
2.493,19.0
2.493,29.72
2.503,31.59
2.513,21.03
2.523,-0.28
2.533,-27.22
2.543,-54.06
2.543,-74.94
2.553,-84.75
2.563,-81.66
2.563,-69.31
2.573,-55.0
2.583,-45.22
2.593,-40.97
2.603,-38.56
2.603,-34.09
2.613,-26.5
2.623,-18.75
2.633,-13.5
2.643,-10.66
2.643,-9.13
2.653,-9.06
2.663,-9.88
2.673,-8.75
2.683,-4.88
2.693,-3.38
2.693,-10.5
2.703,-23.91
2.713,-32.88
2.713,-28.44
2.723,-11.59
2.733,8.13
2.743,21.62
2.753,26.16
2.763,24.22
2.763,19.03
2.773,12.91
2.783,6.63
2.793,0.31
2.803,-5.91
2.813,-11.28
2.813,-13.81
2.823,-11.28
2.833,-2.69
2.843,11.13
2.853,27.12
2.863,40.72
2.863,47.47
2.873,46.22
2.883,39.81
2.893,33.0
2.893,29.12
2.903,29.0
2.913,30.66
2.923,31.09
2.933,28.12
2.933,21.37
2.943,12.69
2.953,4.44
2.963,-1.47
2.963,-4.69
2.973,-6.5
2.983,-10.19
2.995,-18.72
3.001,-31.31
3.01,-41.44
3.02,-41.69
3.02,-32.97
3.03,-24.53
3.04,-24.53
3.05,-30.81
3.06,-32.5
3.07,-20.97
3.07,1.06
3.09,21.62
3.09,30.69
3.1,28.47
3.11,23.53
3.11,23.19
3.12,28.12
3.13,33.59
3.14,34.91
3.14,30.62
3.15,22.37
3.16,13.13
3.17,5.25
3.18,0.0
3.19,-1.91
3.19,-0.5
3.2,2.75
3.21,5.13
3.22,5.63
3.23,5.59
3.24,7.31
3.24,11.5
3.25,16.56
3.26,19.72
3.27,18.81
3.27,14.09
3.28,8.34
3.29,5.09
3.3,5.31
3.3,6.72
3.31,6.38
3.32,2.53
3.33,-4.31
3.34,-11.44
3.34,-16.16
3.35,-16.66
3.36,-13.0
3.37,-8.72
3.38,-8.94
3.39,-15.88
3.39,-25.5
3.4,-30.59
3.41,-27.28
3.42,-18.72
3.43,-12.69
3.44,-14.09
3.44,-20.28
3.45,-24.16
3.46,-21.37
3.46,-13.44
3.47,-3.94
3.48,4.66
3.49,11.34
3.5,16.84
3.51,23.09
3.513,30.19
3.521,36.19
3.531,39.63
3.538,40.25
