timestamp,Value
0.002,10.88
0.012,7.59
0.022,3.97
0.022,1.78
0.032,1.72
0.042,2.66
0.056,3.41
0.061,3.19
0.071,2.81
0.081,3.31
0.081,5.06
0.091,7.25
0.101,9.56
0.111,11.38
0.121,11.78
0.121,10.72
0.131,8.38
0.141,5.69
0.151,3.75
0.151,3.09
0.161,3.38
0.171,3.0
0.181,1.47
0.191,-0.56
0.201,-1.72
0.201,-1.37
0.211,-0.47
0.221,-0.47
0.231,-2.06
0.241,-4.88
0.251,-7.59
0.251,-8.56
0.261,-6.72
0.271,-2.28
0.281,1.84
0.281,3.09
0.291,1.09
0.301,-1.91
0.311,-3.88
0.325,-3.84
0.326,-2.28
0.336,-0.41
0.346,0.69
0.346,0.56
0.356,-0.19
0.366,-0.81
0.376,-1.0
0.376,-0.84
0.386,-0.63
0.396,-0.28
0.406,0.34
0.416,1.5
0.426,3.09
0.426,4.13
0.436,4.0
0.446,2.69
0.456,0.94
0.466,-0.25
0.476,0.06
0.476,1.84
0.486,3.91
0.496,4.97
0.506,4.53
0.516,3.22
0.516,1.84
0.526,1.22
0.536,1.75
0.546,2.59
0.546,3.19
0.556,2.91
0.567,2.28
0.579,2.13
0.579,2.38
0.589,2.44
0.599,1.22
0.609,-0.72
0.619,-2.03
0.619,-1.91
0.629,-0.75
0.639,0.5
0.649,1.19
0.659,0.91
0.659,0.19
0.669,-0.37
0.679,-0.69
0.689,-0.88
0.699,-0.88
0.699,-0.47
0.719,0.78
0.719,2.28
0.729,3.25
0.739,2.91
0.749,1.34
0.749,-0.78
0.765,-1.88
0.773,-1.06
0.773,1.0
0.783,2.59
0.793,2.88
0.803,1.75
0.803,0.41
0.813,0.0
0.823,0.59
0.833,0.78
0.843,-0.19
0.843,-1.66
0.859,-2.34
0.869,-1.53
0.869,-0.19
0.879,0.47
0.889,-0.12
0.899,-1.19
0.899,-1.47
0.919,-0.84
0.919,0.09
0.929,0.84
0.939,1.31
0.949,1.56
0.949,1.91
0.959,2.25
0.969,2.53
0.979,2.63
0.979,2.75
0.989,2.75
0.999,2.63
1.009,2.44
1.019,2.28
1.029,2.53
1.029,2.81
1.039,2.84
1.049,2.25
1.059,1.44
1.069,0.91
1.069,0.72
1.079,0.53
1.09,0.09
1.101,-0.53
1.101,-1.03
1.111,-1.25
1.121,-1.12
1.131,-0.59
1.131,0.0
1.141,0.28
1.151,0.16
1.161,-0.12
1.171,-0.53
1.171,-0.84
1.181,-1.03
1.191,-0.78
1.201,-0.06
1.211,0.78
1.221,1.5
1.221,1.59
1.231,0.91
1.241,0.44
1.251,0.91
1.261,2.25
1.261,3.16
1.271,2.66
1.281,1.28
1.291,-0.03
1.301,-0.22
1.301,1.0
1.311,2.84
1.321,4.06
1.331,3.91
1.331,2.34
1.341,0.78
1.351,0.53
1.361,1.53
1.371,2.63
1.381,2.53
1.387,1.34
1.397,-0.41
1.397,-1.75
1.407,-1.66
1.417,-0.37
1.427,1.34
1.437,2.06
1.447,1.28
1.447,-0.28
1.457,-1.06
1.467,-0.06
1.477,2.03
1.487,3.53
1.487,3.41
1.497,2.09
1.507,0.94
1.517,1.16
1.527,2.25
1.527,2.72
1.537,1.88
1.547,0.25
1.547,-0.91
1.557,-1.56
1.567,-1.5
1.577,-1.19
1.587,-0.84
1.597,-0.75
1.597,-0.91
1.607,-1.03
1.618,-1.16
1.627,-1.09
1.636,-0.72
1.636,-0.28
1.646,0.53
1.656,2.16
1.666,3.75
1.666,4.28
1.676,3.19
1.686,1.37
1.696,-0.28
1.706,-1.03
1.716,-0.97
1.716,-0.72
1.726,-0.56
1.736,-0.78
1.746,-1.25
1.756,-1.72
1.756,-1.84
1.766,-1.19
1.776,0.06
1.786,1.28
1.796,2.0
1.806,2.16
1.806,1.97
1.816,1.75
1.826,1.44
1.826,0.78
1.836,0.03
1.846,-0.03
1.856,0.94
1.866,2.78
1.876,4.88
1.876,7.09
1.886,8.66
1.896,8.59
1.906,6.59
1.916,3.66
1.922,1.44
1.932,1.06
1.932,2.09
1.942,3.38
1.952,3.81
1.962,3.31
1.972,1.94
1.972,0.06
1.982,-1.78
1.992,-2.81
2.002,-3.09
2.012,-2.94
2.012,-3.38
2.022,-4.31
2.032,-4.97
2.042,-4.47
2.052,-3.16
2.052,-1.84
2.062,-0.88
2.072,0.31
2.082,1.53
2.092,2.31
2.102,1.37
2.102,-1.25
2.112,-4.06
2.122,-5.31
2.132,-4.25
2.132,-1.59
2.143,1.06
2.156,2.63
2.166,2.56
2.176,1.31
2.176,-0.16
2.186,-1.19
2.196,-1.28
2.196,-0.53
2.206,0.69
2.216,1.84
2.226,2.53
2.236,2.81
2.236,3.13
2.246,3.44
2.256,2.91
2.266,1.19
2.276,-1.09
2.276,-3.16
2.286,-4.59
2.296,-4.59
2.306,-2.72
2.316,1.0
2.326,4.38
2.326,5.09
2.336,3.0
2.346,-0.06
2.356,-2.19
2.366,-2.81
2.376,-2.06
2.376,-0.28
2.386,1.59
2.396,2.31
2.396,1.75
2.406,0.75
2.416,0.12
2.426,0.37
2.436,1.0
2.446,1.59
2.452,2.03
2.452,2.59
2.462,3.09
2.472,3.19
2.482,3.06
2.492,3.03
2.502,3.28
2.502,3.41
2.512,2.91
2.522,1.66
2.532,0.63
2.542,0.84
2.552,1.97
2.552,2.66
2.562,1.75
2.572,-0.28
2.572,-1.94
2.582,-2.09
2.592,-0.25
2.602,2.75
2.612,5.25
2.622,5.69
2.622,3.97
2.632,1.94
2.642,0.97
2.652,0.72
2.652,0.44
2.667,-0.19
2.673,-0.63
2.683,-0.69
2.693,-0.78
2.693,-1.28
2.703,-1.84
2.713,-1.72
2.723,-0.78
2.733,-0.03
2.743,-0.31
2.753,-1.03
2.759,-1.22
2.759,-0.31
2.767,0.88
2.777,1.22
2.787,0.37
2.797,-1.09
2.797,-2.47
2.807,-3.41
2.817,-3.34
2.827,-2.13
2.837,-0.34
2.847,0.84
2.847,0.72
2.857,-0.47
2.867,-1.22
2.877,-0.72
2.877,0.84
2.887,2.69
2.897,3.84
2.907,3.88
2.917,2.47
2.927,0.37
2.927,-1.37
2.937,-1.66
2.947,-0.47
2.957,1.16
2.957,1.72
2.967,1.19
2.981,0.06
2.984,-0.56
2.994,-0.19
3.004,0.66
3.004,1.22
3.014,1.09
3.024,0.81
3.034,0.47
3.044,0.0
3.054,-0.41
3.064,0.0
3.064,1.44
3.074,3.09
3.084,3.97
3.094,3.59
3.104,2.41
3.104,1.06
3.114,0.03
3.124,0.22
3.134,1.75
3.144,3.97
3.144,5.47
3.154,4.97
3.164,2.84
3.175,0.84
3.183,0.34
3.19,1.44
3.19,2.75
3.2,3.13
3.21,2.94
3.22,2.56
3.23,1.63
3.23,-0.41
3.24,-2.81
3.25,-4.09
3.26,-3.5
3.27,-1.84
3.28,-0.41
3.28,0.28
3.29,0.34
3.3,0.22
3.31,0.12
3.32,0.16
3.32,-0.06
3.33,-0.75
3.34,-1.69
