timestamp,Value
0.002,-10.28
0.002,-7.31
0.012,2.84
0.022,6.5
0.032,-0.47
0.042,-8.63
0.052,-6.88
0.052,2.38
0.062,6.47
0.072,0.59
0.082,-7.66
0.097,-7.78
0.099,-1.22
0.109,2.16
0.119,-1.5
0.119,-6.75
0.129,-6.53
0.139,-2.38
0.149,-1.09
0.149,-4.09
0.159,-7.19
0.173,-7.06
0.18,-7.25
0.18,-10.66
0.19,-13.22
0.2,-10.5
0.21,-5.0
0.22,-5.22
0.22,-12.16
0.23,-16.16
0.24,-10.81
0.25,-1.31
0.26,1.03
0.27,-5.41
0.27,-10.44
0.28,-7.31
0.29,-0.47
0.3,0.19
0.31,-5.69
0.31,-8.38
0.32,-3.34
0.33,3.06
0.34,1.84
0.35,-5.16
0.35,-7.19
0.36,-1.34
0.37,2.56
0.38,-5.28
0.38,-18.31
0.39,-19.34
0.4,-4.84
0.41,10.13
0.42,9.75
0.43,-1.91
0.43,-7.44
0.44,-0.75
0.45,7.44
0.46,5.03
0.47,-3.16
0.47,-3.47
0.48,5.75
0.49,12.66
0.49,8.56
0.51,0.97
0.51,2.0
0.52,10.09
0.53,12.91
0.54,4.13
0.54,-5.78
0.55,-3.28
0.56,8.5
0.57,14.59
0.58,7.0
0.59,-3.88
0.59,-3.25
0.6,7.19
0.61,12.88
0.624,5.16
0.626,-6.13
0.636,-5.66
0.646,5.41
0.646,12.31
0.656,5.03
0.666,-7.31
0.666,-8.28
0.687,2.78
0.687,11.44
0.706,5.84
0.711,-6.09
0.711,-8.13
0.721,2.06
0.731,10.47
0.731,4.06
0.741,-9.94
0.751,-13.34
0.761,-1.69
0.771,10.53
0.781,8.22
0.781,-3.94
0.791,-8.44
0.801,0.34
0.811,9.91
0.821,7.09
0.821,-3.31
0.831,-5.63
0.841,3.44
0.851,11.44
0.861,6.75
0.861,-4.38
0.871,-6.25
0.881,3.84
0.891,12.31
0.901,7.75
0.901,-3.13
0.911,-4.69
0.921,4.81
0.931,12.03
0.941,5.88
0.951,-6.19
0.951,-7.97
0.961,2.75
0.971,12.22
0.981,8.47
0.981,-1.66
0.991,-3.19
1.001,5.44
1.011,11.44
1.021,4.97
1.031,-5.97
1.031,-6.38
1.041,4.34
1.051,11.91
1.051,5.59
1.061,-6.53
1.071,-8.16
1.081,2.31
1.091,10.66
1.091,4.5
1.101,-8.91
1.111,-12.28
1.121,-1.69
1.131,8.91
1.141,4.69
1.152,-9.75
1.156,-15.91
1.166,-6.38
1.176,6.75
1.176,6.72
1.186,-4.97
1.196,-11.91
1.203,-5.56
1.215,5.28
1.221,6.69
1.229,-0.5
1.229,-3.56
1.24,2.25
1.25,8.44
1.26,5.94
1.27,-0.97
1.27,-0.37
1.28,7.69
1.289,12.41
1.299,5.75
1.309,-4.66
1.309,-5.81
1.319,2.75
1.329,9.69
1.339,6.34
1.349,-1.44
1.359,-1.81
1.359,5.06
1.374,9.25
1.378,4.16
1.388,-3.28
1.398,-2.63
1.408,4.84
1.408,8.69
1.418,3.0
1.428,-5.03
1.438,-5.0
1.438,2.19
1.448,6.91
1.458,3.59
1.468,-1.12
1.478,0.94
1.478,7.06
1.488,8.44
1.498,3.0
1.508,-0.34
1.518,4.47
1.518,10.72
1.528,9.16
1.538,0.97
1.548,-1.88
1.558,6.0
1.568,14.41
1.568,11.94
1.578,1.31
1.588,-3.19
1.598,4.03
1.608,11.19
1.608,7.47
1.622,-2.84
1.63,-5.72
1.638,2.22
1.646,8.59
1.646,4.09
1.656,-5.06
1.666,-5.5
1.676,3.16
1.688,7.81
1.692,1.25
1.702,-7.59
1.702,-5.66
1.712,4.97
1.724,9.03
1.731,0.41
1.74,-9.19
1.75,-5.94
1.76,6.16
1.77,10.06
1.77,-0.16
1.78,-11.31
1.79,-8.28
1.8,4.75
1.8,9.63
1.81,0.22
1.82,-11.0
1.83,-8.75
1.83,3.47
1.84,8.34
1.85,-0.12
1.86,-10.53
1.87,-8.28
1.87,3.0
1.88,7.03
1.89,-1.37
1.9,-10.94
1.91,-8.56
1.92,2.13
1.92,6.28
1.93,-0.75
1.94,-8.91
1.95,-6.38
1.96,3.84
1.97,8.03
1.97,1.47
1.98,-7.34
1.99,-8.09
2.0,-3.28
2.01,-2.25
2.01,-6.34
2.02,-8.41
2.03,-3.38
2.03,2.81
2.04,2.13
2.05,-4.16
2.06,-7.91
2.07,-4.81
2.08,-0.72
2.08,-1.94
2.09,-5.53
2.1,-5.41
2.11,-0.84
2.12,1.91
2.12,-0.88
2.13,-4.38
2.14,-3.28
2.15,1.5
2.16,3.44
2.17,0.28
2.17,-2.63
2.18,-1.22
2.19,3.44
2.2,5.84
2.2,4.88
2.21,3.78
2.224,4.22
2.226,4.78
2.236,3.63
2.249,2.16
2.256,3.47
2.263,5.5
2.273,3.94
2.273,-3.0
2.283,-9.03
2.293,-6.25
2.303,2.69
2.313,7.31
2.313,1.94
2.323,-6.06
2.333,-5.34
2.343,2.75
2.353,6.94
2.353,0.5
2.363,-8.22
2.373,-6.72
2.383,3.22
2.393,8.31
2.393,0.53
2.403,-10.22
2.413,-9.22
2.423,2.56
2.423,10.22
2.433,3.63
2.443,-8.19
2.453,-8.88
2.463,1.91
2.473,10.13
2.473,5.25
2.483,-4.78
2.493,-5.25
2.503,4.38
2.513,10.69
2.523,3.84
2.523,-7.38
2.533,-7.5
2.543,3.63
2.543,11.72
2.553,5.66
2.573,-6.31
2.573,-7.81
2.583,2.78
2.583,11.25
2.593,5.63
2.603,-6.75
2.613,-9.0
2.623,1.69
2.633,11.31
2.633,6.75
2.643,-5.56
2.653,-8.56
2.663,1.44
2.673,11.06
2.673,6.63
2.683,-5.97
2.693,-9.31
2.703,0.97
2.713,11.47
2.723,8.34
2.723,-3.09
2.733,-6.38
2.743,2.84
2.743,11.81
2.759,8.69
2.77,-1.16
2.77,-2.59
2.785,6.09
2.788,13.0
2.798,9.28
2.808,2.44
2.808,4.25
2.818,12.09
2.828,13.69
2.838,3.75
2.848,-6.63
2.858,-3.72
2.858,8.47
2.868,14.31
2.878,5.56
2.888,-6.91
2.898,-7.09
2.898,4.13
2.908,11.53
2.918,5.06
2.928,-6.5
2.928,-7.31
2.948,2.91
2.948,9.88
2.958,3.22
2.968,-9.0
2.968,-10.34
2.978,0.47
2.988,9.31
2.998,4.06
3.008,-8.47
3.018,-11.5
3.018,-1.78
3.028,7.66
3.038,4.53
3.048,-6.03
3.058,-8.66
3.058,-0.25
3.068,7.59
3.078,4.0
3.088,-5.53
3.098,-6.91
3.098,1.56
3.108,8.31
3.118,3.66
3.128,-5.97
3.138,-6.84
3.138,2.13
3.148,8.91
3.158,4.25
3.168,-5.22
3.168,-6.03
3.178,2.47
3.188,8.63
3.198,3.81
3.208,-5.0
3.218,-5.38
3.218,2.5
3.228,7.94
3.238,3.88
3.248,-2.5
3.258,-0.66
3.258,6.97
3.268,9.28
3.285,1.09
3.285,-8.22
3.297,-7.22
3.308,1.84
3.308,7.38
3.318,2.31
3.328,-6.13
3.328,-6.88
3.348,-0.37
3.348,4.44
3.358,1.97
3.368,-1.94
3.378,0.22
3.378,5.53
3.388,6.06
3.398,0.28
3.408,-2.97
3.418,2.0
3.418,8.59
3.428,7.78
3.438,0.44
3.448,-2.78
3.458,3.16
3.468,9.41
3.468,7.16
3.478,-0.56
3.488,-1.78
3.498,5.75
3.498,10.81
3.508,5.59
3.518,-3.38
3.528,-3.31
3.538,5.78
3.538,10.41
3.548,3.66
3.558,-5.81
3.568,-4.53
3.578,5.75
3.578,10.03
3.588,2.16
3.598,-6.88
3.608,-2.94
3.618,9.97
3.628,13.97
3.628,2.75
3.638,-10.28
3.648,-9.19
3.658,2.69
3.668,7.81
3.668,-0.37
3.678,-10.19
3.688,-8.03
3.698,2.0
3.698,4.56
3.708,-4.06
3.718,-11.91
3.728,-7.41
3.738,3.63
3.748,5.94
3.748,-3.03
3.758,-11.09
3.768,-6.91
3.778,4.25
3.788,7.34
3.788,-0.91
3.798,-9.59
3.813,-8.28
3.814,-1.03
3.825,0.78
3.833,-4.31
3.84,-7.97
3.85,-4.28
3.85,1.0
3.86,-0.66
3.87,-6.91
3.88,-8.75
3.89,-1.84
3.9,6.19
3.9,6.06
3.91,-0.88
3.92,-5.94
3.93,-4.34
3.93,-1.09
3.94,-1.84
3.95,-4.44
3.96,-3.5
3.97,1.44
3.98,4.53
3.98,1.78
3.99,-2.38
4.0,-2.78
4.01,0.56
4.02,2.22
4.02,0.12
4.03,-1.56
4.04,0.22
4.05,3.53
4.06,3.72
4.07,0.72
4.07,-0.53
4.08,1.53
4.09,3.44
4.09,1.0
4.1,-2.94
4.11,-2.38
4.12,2.59
4.13,5.47
4.14,1.94
4.14,-3.13
4.15,-2.03
4.16,3.81
4.17,5.69
4.18,-1.09
4.18,-8.69
4.19,-6.59
4.2,2.94
4.21,7.47
4.22,0.16
4.23,-9.97
4.23,-8.91
4.24,2.09
4.25,9.03
4.26,2.84
4.26,-7.69
4.27,-7.88
4.28,2.19
4.288,8.91
4.298,2.81
4.308,-7.31
4.308,-6.81
4.318,3.69
4.328,10.38
4.341,3.88
4.349,-6.66
4.356,-6.44
4.365,4.16
4.365,10.75
4.375,3.69
4.385,-8.19
4.395,-8.84
4.405,2.38
4.415,10.88
4.415,4.81
4.425,-8.06
4.435,-10.31
4.435,0.59
4.445,10.47
4.455,6.03
4.465,-6.34
4.475,-9.25
4.475,0.72
4.485,10.44
4.495,6.78
4.505,-4.5
4.515,-7.06
4.525,2.38
4.525,11.03
4.535,6.66
4.545,-4.72
4.555,-6.88
4.565,3.06
4.575,11.72
4.575,6.78
4.585,-5.16
4.595,-7.5
4.605,2.63
4.605,11.72
4.615,6.66
4.625,-6.34
4.635,-9.84
4.645,0.69
4.645,11.56
4.655,8.75
4.665,-2.78
4.675,-6.22
4.685,2.53
4.685,11.19
4.695,6.97
4.705,-4.5
4.715,-6.91
4.725,2.97
4.725,12.09
4.735,8.09
4.745,-2.84
4.755,-5.0
4.765,4.28
4.775,12.06
4.775,7.41
4.785,-3.09
4.795,-4.22
4.805,5.13
4.815,11.97
4.825,6.0
4.825,-5.22
4.835,-6.69
4.845,2.97
4.845,10.78
4.855,6.38
4.866,-3.16
4.877,-3.72
4.882,5.16
4.892,10.94
4.902,5.0
4.902,-4.5
4.912,-3.81
4.922,6.03
4.932,11.56
4.942,4.44
4.942,-6.16
4.952,-5.94
4.962,4.16
4.972,10.38
4.972,3.91
4.982,-6.5
4.992,-6.81
5.002,2.59
5.012,8.84
5.022,3.19
5.022,-6.59
5.032,-7.75
5.042,-0.03
5.052,5.78
5.062,2.22
5.062,-4.38
5.072,-3.5
5.082,3.56
5.092,6.69
5.102,0.25
5.102,-8.19
5.112,-8.09
5.122,-0.53
5.132,4.75
5.142,2.03
5.152,-2.56
5.152,-0.47
5.162,5.59
5.172,6.84
5.182,0.75
5.192,-3.72
5.202,0.91
5.202,8.53
5.212,9.0
5.222,1.25
5.222,-4.25
5.232,-0.5
5.242,5.78
5.252,5.53
5.262,-0.34
5.272,-2.0
5.272,4.03
5.282,8.69
5.292,4.84
5.302,-2.28
5.302,-0.91
5.312,8.97
5.322,13.66
5.332,5.81
5.342,-5.53
5.352,-5.0
5.352,6.91
5.362,13.5
5.372,5.91
5.383,-5.56
5.391,-5.06
5.391,6.09
5.405,11.09
5.407,2.34
5.417,-8.66
5.427,-6.09
5.437,7.03
5.447,12.38
5.447,2.34
